,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
38,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-305,1993,16,16,1440,16.0,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,1.0,1.0,1.2,0.06,0.08,0.14,0.06,0.14,Matches
39,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-176,1989,4,1,162,1.8,1,0,0,0,0,0,0.56,0.00,0.56,0.56,0.56,0.6,0.6,0.2,0.36,0.12,0.48,0.36,0.48,Matches
40,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-125,1993,17,17,1455,16.2,10,2,1,1,1,0,0.62,0.12,0.74,0.56,0.68,11.1,10.3,1.1,0.68,0.07,0.75,0.64,0.70,Matches
41,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-194,1985,3,3,270,3.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
42,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-034,1993,2,0,42,0.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
43,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-034,1993,6,6,454,5.0,2,1,0,0,0,0,0.40,0.20,0.59,0.40,0.59,1.5,1.5,1.7,0.30,0.34,0.64,0.30,0.64,Matches
44,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-070,1989,12,9,784,8.7,1,0,0,0,2,0,0.11,0.00,0.11,0.11,0.11,2.1,2.1,0.4,0.24,0.04,0.28,0.24,0.28,Matches
45,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-030,1997,16,13,1190,13.2,5,1,0,0,0,0,0.38,0.08,0.45,0.38,0.45,3.5,3.5,0.3,0.26,0.02,0.28,0.26,0.28,Matches
46,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-231,1991,9,8,745,8.3,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.1,1.1,0.0,0.13,0.00,0.13,0.13,0.13,Matches
47,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-172,1988,17,17,1426,15.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.04,0.04,0.08,0.04,0.08,Matches
48,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-098,1993,10,4,428,4.8,0,1,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.6,0.6,1.0,0.13,0.22,0.35,0.13,0.35,Matches
49,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-271,1996,17,17,1440,16.0,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,Matches
50,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-265,1997,10,2,257,2.9,1,0,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.3,0.3,0.1,0.09,0.03,0.12,0.09,0.12,Matches
51,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-295,1995,15,15,1280,14.2,0,2,0,0,6,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,2.1,0.01,0.15,0.16,0.01,0.16,Matches
52,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-151,1995,9,3,397,4.4,0,2,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.7,0.7,0.5,0.16,0.12,0.28,0.16,0.28,Matches
53,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-034,1999,5,2,254,2.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.06,0.00,0.06,0.06,0.06,Matches
54,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-036,1990,12,6,540,6.0,3,0,0,0,2,1,0.50,0.00,0.50,0.50,0.50,2.9,2.9,0.7,0.48,0.11,0.60,0.48,0.60,Matches
55,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-073,1990,4,3,240,2.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.16,0.03,0.19,0.16,0.19,Matches
56,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22-329,1998,13,12,1016,11.3,1,1,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,0.11,0.11,0.22,0.04,0.15,Matches
57,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-092,1997,11,7,680,7.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.8,0.20,0.10,0.30,0.20,0.30,Matches
