,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-352,1992,17,14,1094,12.2,2,0,0,0,3,0,0.16,0.00,0.16,0.16,0.16,0.9,0.9,1.4,0.08,0.12,0.19,0.08,0.19,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-119,1992,17,17,1530,17.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Allan\Allan,br BRA,MF,Everton,30-021,1991,12,12,1028,11.4,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
18,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,24-293,1996,4,1,77,0.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches
19,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-354,1994,18,12,1100,12.2,2,1,0,0,1,0,0.16,0.08,0.25,0.16,0.25,1.5,1.5,1.4,0.12,0.11,0.23,0.12,0.23,Matches
20,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-032,1990,3,3,225,2.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,Matches
21,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-143,1998,8,5,522,5.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.04,0.06,0.10,0.04,0.10,Matches
22,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-039,1994,4,3,265,2.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,MFDF,Sheffield Utd,20-137,2000,14,13,1151,12.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.01,0.06,0.07,0.01,0.07,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-243,1996,13,13,1141,12.7,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
25,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-084,2002,1,0,4,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-289,1993,2,0,3,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-307,1990,12,10,827,9.2,5,1,0,0,1,0,0.54,0.11,0.65,0.54,0.65,5.2,5.2,1.2,0.56,0.13,0.69,0.56,0.69,Matches
28,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-337,1993,18,18,1620,18.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
29,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-305,1992,16,15,1304,14.5,3,2,0,0,0,0,0.21,0.14,0.35,0.21,0.35,1.2,1.2,1.3,0.08,0.09,0.17,0.08,0.17,Matches
30,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-118,1994,3,3,270,3.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
31,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-225,1989,17,17,1514,16.8,5,1,1,1,2,0,0.30,0.06,0.36,0.24,0.30,6.0,5.2,1.5,0.36,0.09,0.44,0.31,0.40,Matches
32,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-036,1992,11,11,918,10.2,2,1,0,0,0,0,0.20,0.10,0.29,0.20,0.29,0.8,0.8,0.9,0.08,0.09,0.17,0.08,0.17,Matches
33,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-208,1989,5,0,138,1.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.13,0.00,0.13,0.13,0.13,Matches
34,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-140,1991,16,9,875,9.7,1,1,0,0,0,0,0.10,0.10,0.21,0.10,0.21,1.3,1.3,0.3,0.14,0.03,0.17,0.14,0.17,Matches
35,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-157,1991,19,19,1689,18.8,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.5,0.03,0.08,0.12,0.03,0.12,Matches
36,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-154,1989,10,8,771,8.6,0,1,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,0.3,0.05,0.04,0.09,0.05,0.09,Matches
37,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-292,1994,7,6,548,6.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
38,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-159,1991,12,12,1080,12.0,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.05,0.00,0.05,0.05,0.05,Matches
39,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-326,1993,17,17,1530,17.0,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,1.0,1.0,1.3,0.06,0.08,0.14,0.06,0.14,Matches
40,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-197,1989,5,1,172,1.9,1,0,0,0,0,0,0.52,0.00,0.52,0.52,0.52,0.6,0.6,0.2,0.34,0.12,0.45,0.34,0.45,Matches
41,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-146,1993,19,19,1604,17.8,10,2,1,1,1,0,0.56,0.11,0.67,0.50,0.62,11.1,10.3,1.2,0.62,0.06,0.69,0.58,0.64,Matches
42,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-215,1985,3,3,270,3.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
43,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-055,1993,9,9,682,7.6,2,1,0,0,0,0,0.26,0.13,0.40,0.26,0.40,2.1,2.1,2.0,0.28,0.27,0.55,0.28,0.55,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-055,1993,2,0,42,0.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
45,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-091,1989,15,12,1023,11.4,2,0,1,1,4,0,0.18,0.00,0.18,0.09,0.09,3.2,2.4,0.6,0.28,0.05,0.33,0.21,0.26,Matches
46,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-051,1997,19,16,1460,16.2,6,3,0,0,0,0,0.37,0.18,0.55,0.37,0.55,4.6,4.6,0.7,0.28,0.04,0.32,0.28,0.32,Matches
47,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-252,1991,12,10,970,10.8,1,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,1.1,1.1,0.0,0.10,0.00,0.10,0.10,0.10,Matches
48,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-193,1988,20,20,1639,18.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.03,0.03,0.07,0.03,0.07,Matches
49,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-119,1993,12,4,465,5.2,1,1,0,0,0,0,0.19,0.19,0.39,0.19,0.39,0.8,0.8,1.0,0.15,0.20,0.35,0.15,0.35,Matches
50,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-292,1996,19,19,1620,18.0,1,1,0,0,1,0,0.06,0.06,0.11,0.06,0.11,0.6,0.6,0.2,0.03,0.01,0.04,0.03,0.04,Matches
51,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-286,1997,11,2,265,2.9,1,0,0,0,0,0,0.34,0.00,0.34,0.34,0.34,0.3,0.3,0.1,0.09,0.03,0.12,0.09,0.12,Matches
52,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-316,1995,17,17,1460,16.2,0,2,0,0,7,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,2.1,0.01,0.13,0.14,0.01,0.14,Matches
53,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-172,1995,12,6,611,6.8,0,2,0,0,0,0,0.00,0.29,0.29,0.00,0.29,1.4,1.4,1.4,0.20,0.21,0.42,0.20,0.42,Matches
54,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-055,1999,5,2,254,2.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.06,0.00,0.06,0.06,0.06,Matches
55,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-057,1990,14,8,692,7.7,3,1,0,0,2,1,0.39,0.13,0.52,0.39,0.52,3.4,3.4,0.8,0.45,0.11,0.56,0.45,0.56,Matches
56,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-094,1990,8,5,432,4.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.16,0.02,0.18,0.16,0.18,Matches
57,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22-350,1998,13,12,1016,11.3,1,1,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,0.11,0.11,0.22,0.04,0.15,Matches
58,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-113,1997,13,9,846,9.4,0,2,0,0,2,0,0.00,0.21,0.21,0.00,0.21,1.7,1.7,1.0,0.18,0.11,0.29,0.18,0.29,Matches
59,Bernard\Bernard,br BRA,FWMF,Everton,28-143,1992,6,2,274,3.0,1,0,0,0,2,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.5,0.05,0.15,0.20,0.05,0.20,Matches
60,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-260,1995,3,2,206,2.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.13,0.09,0.22,0.13,0.22,Matches
61,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-177,1989,17,17,1518,16.9,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.03,0.02,0.05,0.03,0.05,Matches
62,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-152,1996,18,17,1493,16.6,1,0,0,0,6,1,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.4,0.03,0.02,0.06,0.03,0.06,Matches
63,Jayden Bogle\Jayden-Bogle,eng ENG,DFMF,Sheffield Utd,20-186,2000,5,3,345,3.8,1,0,0,0,1,0,0.26,0.00,0.26,0.26,0.26,0.7,0.7,0.2,0.17,0.05,0.22,0.17,0.22,Matches
64,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,29-361,1991,14,14,1260,14.0,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,0.8,0.8,0.4,0.06,0.03,0.09,0.06,0.09,Matches
65,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-040,1996,20,19,1542,17.1,5,3,0,0,0,0,0.29,0.18,0.47,0.29,0.47,4.1,4.1,1.8,0.24,0.10,0.34,0.24,0.34,Matches
66,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-015,1992,14,11,885,9.8,1,1,0,0,2,0,0.10,0.10,0.20,0.10,0.20,0.7,0.7,0.9,0.07,0.09,0.17,0.07,0.17,Matches
67,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-303,2000,16,6,672,7.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.1,0.16,0.15,0.31,0.16,0.31,Matches
68,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-041,1995,18,18,1575,17.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,0.05,0.03,0.08,0.05,0.08,Matches
69,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-134,1993,11,5,452,5.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.03,0.03,0.06,0.03,0.06,Matches
70,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-089,1996,4,3,228,2.5,1,0,0,0,0,0,0.39,0.00,0.39,0.39,0.39,0.3,0.3,0.0,0.11,0.02,0.13,0.11,0.13,Matches
71,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-297,1997,13,9,761,8.5,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,1.8,1.8,1.7,0.22,0.20,0.42,0.22,0.42,Matches
72,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-265,1992,12,10,913,10.1,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.03,0.02,0.05,0.03,0.05,Matches
73,David Button\David-Button,eng ENG,GK,West Brom,31-337,1989,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
74,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-304,1998,1,0,22,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-123,1981,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-041,1985,7,7,630,7.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.02,0.05,0.07,0.02,0.07,Matches
77,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-009,1991,10,9,759,8.4,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,0.08,0.17,0.25,0.08,0.25,Matches
78,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-319,1997,17,17,1492,16.6,11,0,0,0,3,0,0.66,0.00,0.66,0.66,0.66,8.6,8.6,0.6,0.52,0.04,0.55,0.52,0.55,Matches
79,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-247,1994,15,14,1280,14.2,1,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,0.8,0.8,2.9,0.06,0.21,0.26,0.06,0.26,Matches
80,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,20-355,2000,10,0,253,2.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.13,0.13,0.26,0.13,0.26,Matches
81,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-023,1989,12,4,367,4.1,1,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.9,0.9,0.1,0.22,0.02,0.23,0.22,0.23,Matches
82,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-175,1997,17,17,1492,16.6,0,2,0,0,5,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,1.6,0.02,0.10,0.11,0.02,0.11,Matches
83,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-119,1986,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
84,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-055,1995,12,12,1049,11.7,1,2,0,0,1,0,0.09,0.17,0.26,0.09,0.26,0.4,0.4,0.7,0.04,0.06,0.10,0.04,0.10,Matches
85,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-103,1993,17,15,1280,14.2,2,0,1,2,1,0,0.14,0.00,0.14,0.07,0.07,3.8,3.0,1.5,0.26,0.10,0.37,0.21,0.32,Matches
86,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33-350,1987,13,4,537,6.0,4,2,0,0,1,0,0.67,0.34,1.01,0.67,1.01,3.5,3.5,1.3,0.59,0.21,0.80,0.59,0.80,Matches
87,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-175,1996,16,10,1019,11.3,0,1,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,2.0,0.01,0.18,0.19,0.01,0.19,Matches
88,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-039,1996,17,17,1425,15.8,2,4,0,0,2,0,0.13,0.25,0.38,0.13,0.38,1.2,1.2,1.1,0.08,0.07,0.15,0.08,0.15,Matches
89,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-120,1997,3,1,71,0.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
90,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-294,1996,5,5,404,4.5,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
91,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-125,1989,10,10,900,10.0,1,0,0,0,2,0,0.10,0.00,0.10,0.10,0.10,0.2,0.2,0.1,0.02,0.01,0.03,0.02,0.03,Matches
92,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-299,1991,9,9,791,8.8,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,0.3,0.01,0.03,0.04,0.01,0.04,Matches
93,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27-339,1993,19,19,1683,18.7,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.01,0.01,0.02,0.01,0.02,Matches
94,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-110,1988,11,7,577,6.4,0,1,0,0,0,0,0.00,0.16,0.16,0.00,0.16,0.2,0.2,0.6,0.02,0.09,0.11,0.02,0.11,Matches
95,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-001,2000,11,7,581,6.5,2,1,0,0,0,0,0.31,0.15,0.46,0.31,0.46,2.1,2.1,0.2,0.32,0.02,0.35,0.32,0.35,Matches
96,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-152,1991,13,13,1151,12.8,1,0,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.0,0.04,0.00,0.04,0.04,0.04,Matches
97,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-218,1989,1,0,45,0.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
98,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-017,1994,11,8,679,7.5,2,2,0,0,0,0,0.27,0.27,0.53,0.27,0.53,1.0,1.0,0.8,0.13,0.11,0.24,0.13,0.24,Matches
99,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-160,1992,16,16,1434,15.9,0,3,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.4,0.4,2.2,0.02,0.14,0.16,0.02,0.16,Matches
100,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-045,1989,20,20,1800,20.0,0,5,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.6,0.6,2.7,0.03,0.14,0.17,0.03,0.17,Matches
101,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-026,1998,2,0,25,0.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.61,0.00,0.61,0.61,0.61,Matches
102,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-285,1991,19,19,1700,18.9,3,1,0,0,3,0,0.16,0.05,0.21,0.16,0.21,2.1,2.1,1.0,0.11,0.05,0.16,0.11,0.16,Matches
103,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33-350,1987,8,8,720,8.0,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.0,0.04,0.00,0.04,0.04,0.04,Matches
104,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-113,1990,20,20,1800,20.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
105,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-280,1993,14,9,862,9.6,0,1,0,0,0,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,0.5,0.02,0.05,0.07,0.02,0.07,Matches
106,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,22-213,1998,11,7,580,6.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.01,0.08,0.08,0.01,0.08,Matches
107,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,22-351,1998,5,0,53,0.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.48,0.04,0.53,0.48,0.53,Matches
108,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-017,2000,2,0,33,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
109,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-268,1990,5,5,450,5.0,1,0,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.3,0.3,0.0,0.06,0.01,0.07,0.06,0.07,Matches
110,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-215,1991,17,16,1406,15.6,3,10,2,3,1,0,0.19,0.64,0.83,0.06,0.70,8.1,5.8,6.9,0.52,0.44,0.96,0.37,0.81,Matches
111,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,17-356,2003,1,0,40,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
