,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-109,1998,17,16,1396,15.5,0,2,0,0,1,0,0.00,0.13,0.13,0.00,0.13,1.3,1.3,2.2,0.08,0.14,0.23,0.08,0.23,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-347,1992,16,13,1039,11.5,2,0,0,0,2,0,0.17,0.00,0.17,0.17,0.17,0.9,0.9,1.4,0.08,0.12,0.20,0.08,0.20,Matches
16,Alisson\Alisson,br BRA,GK,Liverpool,28-114,1992,16,16,1440,16.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
17,Allan\Allan,br BRA,MF,Everton,30-016,1991,12,12,1028,11.4,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
18,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,24-288,1996,4,1,77,0.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches
19,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-349,1994,17,11,1010,11.2,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.0,1.0,1.3,0.09,0.12,0.21,0.09,0.21,Matches
20,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-027,1990,3,3,225,2.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.02,0.05,0.03,0.05,Matches
21,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-138,1998,8,5,522,5.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.04,0.06,0.10,0.04,0.10,Matches
22,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-034,1994,4,3,265,2.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
23,Ethan Ampadu\Ethan-Ampadu,wal WAL,MFDF,Sheffield Utd,20-132,2000,13,12,1061,11.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.01,0.06,0.08,0.01,0.08,Matches
24,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-238,1996,12,12,1051,11.7,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
25,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-079,2002,1,0,4,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-284,1993,2,0,3,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-302,1990,11,9,745,8.3,5,0,0,0,1,0,0.60,0.00,0.60,0.60,0.60,3.6,3.6,0.8,0.43,0.10,0.53,0.43,0.53,Matches
28,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-332,1993,17,17,1530,17.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
29,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-300,1992,15,14,1214,13.5,2,2,0,0,0,0,0.15,0.15,0.30,0.15,0.30,1.1,1.1,1.2,0.08,0.09,0.17,0.08,0.17,Matches
30,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-113,1994,3,3,270,3.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
31,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-220,1989,17,17,1514,16.8,5,1,1,1,2,0,0.30,0.06,0.36,0.24,0.30,6.0,5.2,1.5,0.36,0.09,0.44,0.31,0.40,Matches
32,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-031,1992,10,10,873,9.7,2,1,0,0,0,0,0.21,0.10,0.31,0.21,0.31,0.8,0.8,0.9,0.09,0.09,0.18,0.09,0.18,Matches
33,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-203,1989,5,0,138,1.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.13,0.00,0.13,0.13,0.13,Matches
34,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-135,1991,15,9,857,9.5,1,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.3,1.3,0.1,0.14,0.01,0.15,0.14,0.15,Matches
35,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-152,1991,18,18,1599,17.8,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.5,0.04,0.09,0.12,0.04,0.12,Matches
36,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-149,1989,9,7,681,7.6,0,1,0,0,3,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,0.3,0.06,0.03,0.09,0.06,0.09,Matches
37,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-287,1994,7,6,548,6.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
38,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-154,1991,12,12,1080,12.0,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.05,0.00,0.05,0.05,0.05,Matches
39,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-321,1993,16,16,1440,16.0,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,1.0,1.0,1.2,0.06,0.08,0.14,0.06,0.14,Matches
40,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-192,1989,4,1,162,1.8,1,0,0,0,0,0,0.56,0.00,0.56,0.56,0.56,0.6,0.6,0.2,0.36,0.12,0.48,0.36,0.48,Matches
41,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-141,1993,18,18,1545,17.2,10,2,1,1,1,0,0.58,0.12,0.70,0.52,0.64,11.1,10.3,1.2,0.64,0.07,0.71,0.60,0.67,Matches
42,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-210,1985,3,3,270,3.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
43,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-050,1993,8,8,600,6.7,2,1,0,0,0,0,0.30,0.15,0.45,0.30,0.45,1.9,1.9,1.9,0.29,0.29,0.58,0.29,0.58,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-050,1993,2,0,42,0.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
45,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-086,1989,15,12,1023,11.4,2,0,1,1,4,0,0.18,0.00,0.18,0.09,0.09,3.2,2.5,0.6,0.28,0.05,0.33,0.22,0.27,Matches
46,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-046,1997,18,15,1370,15.2,6,2,0,0,0,0,0.39,0.13,0.53,0.39,0.53,4.4,4.4,0.5,0.29,0.03,0.32,0.29,0.32,Matches
47,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-247,1991,11,10,925,10.3,1,1,0,0,1,0,0.10,0.10,0.19,0.10,0.19,1.1,1.1,0.0,0.11,0.00,0.11,0.11,0.11,Matches
48,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-188,1988,19,19,1549,17.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.03,0.04,0.07,0.03,0.07,Matches
49,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-114,1993,11,4,440,4.9,0,1,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.6,0.6,1.0,0.12,0.21,0.34,0.12,0.34,Matches
50,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-287,1996,18,18,1530,17.0,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,Matches
51,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-281,1997,10,2,257,2.9,1,0,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.3,0.3,0.1,0.09,0.03,0.12,0.09,0.12,Matches
52,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-311,1995,16,16,1370,15.2,0,2,0,0,6,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,2.1,0.01,0.14,0.15,0.01,0.15,Matches
53,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-167,1995,11,5,525,5.8,0,2,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.8,0.8,0.5,0.14,0.09,0.23,0.14,0.23,Matches
54,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-050,1999,5,2,254,2.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.06,0.00,0.06,0.06,0.06,Matches
55,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-052,1990,13,7,620,6.9,3,0,0,0,2,1,0.44,0.00,0.44,0.44,0.44,3.4,3.4,0.8,0.50,0.12,0.61,0.50,0.61,Matches
56,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-089,1990,7,5,401,4.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.16,0.02,0.18,0.16,0.18,Matches
57,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22-345,1998,13,12,1016,11.3,1,1,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,0.11,0.11,0.22,0.04,0.15,Matches
58,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-108,1997,12,8,766,8.5,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,1.7,1.7,0.8,0.20,0.09,0.30,0.20,0.30,Matches
59,Bernard\Bernard,br BRA,FWMF,Everton,28-138,1992,6,2,274,3.0,1,0,0,0,2,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.5,0.05,0.15,0.20,0.05,0.20,Matches
60,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-255,1995,3,2,206,2.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.13,0.09,0.22,0.13,0.22,Matches
61,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-172,1989,17,17,1518,16.9,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.03,0.02,0.05,0.03,0.05,Matches
62,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-147,1996,17,16,1403,15.6,1,0,0,0,5,1,0.06,0.00,0.06,0.06,0.06,0.5,0.5,0.3,0.03,0.02,0.05,0.03,0.05,Matches
63,Jayden Bogle\Jayden-Bogle,eng ENG,DFMF,Sheffield Utd,20-181,2000,4,3,307,3.4,1,0,0,0,1,0,0.29,0.00,0.29,0.29,0.29,0.7,0.7,0.2,0.20,0.05,0.25,0.20,0.25,Matches
64,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,29-356,1991,13,13,1170,13.0,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,0.8,0.8,0.4,0.07,0.03,0.10,0.07,0.10,Matches
65,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-035,1996,19,18,1462,16.2,5,2,0,0,0,0,0.31,0.12,0.43,0.31,0.43,4.0,4.0,1.5,0.25,0.09,0.34,0.25,0.34,Matches
66,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-010,1992,13,10,826,9.2,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,0.6,0.6,1.0,0.06,0.10,0.17,0.06,0.17,Matches
67,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-298,2000,15,6,661,7.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.1,0.17,0.15,0.31,0.17,0.31,Matches
68,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-036,1995,17,17,1530,17.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,0.05,0.03,0.08,0.05,0.08,Matches
69,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-129,1993,10,5,440,4.9,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.03,0.04,0.07,0.03,0.07,Matches
70,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-084,1996,3,2,176,2.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
71,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-292,1997,12,9,740,8.2,0,1,0,0,2,0,0.00,0.12,0.12,0.00,0.12,1.6,1.6,1.7,0.20,0.21,0.41,0.20,0.41,Matches
72,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-260,1992,12,10,913,10.1,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.03,0.02,0.05,0.03,0.05,Matches
73,David Button\David-Button,eng ENG,GK,West Brom,31-332,1989,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
74,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-299,1998,1,0,22,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-118,1981,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-036,1985,6,6,540,6.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.02,0.06,0.08,0.02,0.08,Matches
77,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-004,1991,10,9,759,8.4,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,0.08,0.17,0.25,0.08,0.25,Matches
78,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-314,1997,16,16,1404,15.6,11,0,0,0,3,0,0.71,0.00,0.71,0.71,0.71,8.3,8.3,0.6,0.53,0.04,0.57,0.53,0.57,Matches
79,João Cancelo\Joao-Cancelo,pt POR,DFMF,Manchester City,26-242,1994,14,13,1190,13.2,0,1,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.7,0.7,2.7,0.05,0.20,0.25,0.05,0.25,Matches
80,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,20-350,2000,10,0,253,2.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.13,0.13,0.26,0.13,0.26,Matches
81,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-018,1989,12,4,367,4.1,1,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.9,0.9,0.1,0.22,0.02,0.23,0.22,0.23,Matches
82,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-170,1997,16,16,1402,15.6,0,2,0,0,5,0,0.00,0.13,0.13,0.00,0.13,0.3,0.3,1.5,0.02,0.10,0.11,0.02,0.11,Matches
83,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-114,1986,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
84,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-050,1995,11,11,959,10.7,1,2,0,0,1,0,0.09,0.19,0.28,0.09,0.28,0.4,0.4,0.6,0.04,0.06,0.10,0.04,0.10,Matches
85,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-098,1993,16,14,1202,13.4,2,0,1,2,1,0,0.15,0.00,0.15,0.07,0.07,3.3,2.5,1.5,0.25,0.11,0.36,0.19,0.30,Matches
86,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33-345,1987,12,4,512,5.7,4,2,0,0,1,0,0.70,0.35,1.05,0.70,1.05,3.5,3.5,1.3,0.61,0.22,0.83,0.61,0.83,Matches
87,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-170,1996,16,10,1019,11.3,0,1,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,2.0,0.01,0.18,0.19,0.01,0.19,Matches
88,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-034,1996,16,16,1350,15.0,2,4,0,0,1,0,0.13,0.27,0.40,0.13,0.40,1.0,1.0,1.1,0.07,0.07,0.14,0.07,0.14,Matches
89,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-115,1997,3,1,71,0.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
90,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-289,1996,5,5,404,4.5,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
91,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-120,1989,10,10,900,10.0,1,0,0,0,2,0,0.10,0.00,0.10,0.10,0.10,0.2,0.2,0.1,0.02,0.01,0.03,0.02,0.03,Matches
92,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-294,1991,9,9,791,8.8,0,1,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,0.3,0.01,0.03,0.04,0.01,0.04,Matches
93,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27-334,1993,18,18,1593,17.7,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.01,0.01,0.02,0.01,0.02,Matches
94,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-105,1988,10,7,575,6.4,0,1,0,0,0,0,0.00,0.16,0.16,0.00,0.16,0.2,0.2,0.6,0.02,0.09,0.12,0.02,0.12,Matches
95,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,20-362,2000,11,7,581,6.5,2,1,0,0,0,0,0.31,0.15,0.46,0.31,0.46,2.1,2.1,0.2,0.33,0.02,0.35,0.33,0.35,Matches
96,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-147,1991,12,12,1061,11.8,1,0,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.0,0.04,0.00,0.04,0.04,0.04,Matches
97,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-012,1994,11,8,679,7.5,2,2,0,0,0,0,0.27,0.27,0.53,0.27,0.53,1.0,1.0,0.8,0.13,0.11,0.24,0.13,0.24,Matches
98,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-155,1992,15,15,1344,14.9,0,3,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.3,0.3,2.2,0.02,0.15,0.17,0.02,0.17,Matches
99,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-040,1989,19,19,1710,19.0,0,4,0,0,0,0,0.00,0.21,0.21,0.00,0.21,0.5,0.5,2.5,0.02,0.13,0.16,0.02,0.16,Matches
100,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-021,1998,2,0,25,0.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.61,0.00,0.61,0.61,0.61,Matches
101,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-280,1991,18,18,1610,17.9,3,1,0,0,3,0,0.17,0.06,0.22,0.17,0.22,1.9,1.9,0.7,0.11,0.04,0.15,0.11,0.15,Matches
102,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33-345,1987,8,8,720,8.0,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.0,0.04,0.00,0.04,0.04,0.04,Matches
103,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-108,1990,19,19,1710,19.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
104,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-275,1993,13,8,772,8.6,0,1,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.5,0.02,0.06,0.08,0.02,0.08,Matches
105,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,22-208,1998,10,6,490,5.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.09,0.09,0.00,0.09,Matches
106,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,22-346,1998,4,0,51,0.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.50,0.05,0.55,0.50,0.55,Matches
107,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-012,2000,2,0,33,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
108,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-263,1990,4,4,360,4.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.01,0.02,0.02,0.02,Matches
109,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-210,1991,17,16,1406,15.6,3,10,2,3,1,0,0.19,0.64,0.83,0.06,0.70,8.1,5.8,6.9,0.52,0.44,0.96,0.37,0.81,Matches
110,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,17-351,2003,1,0,40,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
111,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,31-064,1989,5,2,214,2.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
