,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,15,13,1158,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.3,0.04,0.03,0.06,0.04,0.06,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,5,3,331,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,8,751,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,24,13,1261,2,1,0,0,4,1,0.14,0.07,0.21,0.14,0.21,4.9,4.9,2.1,0.35,0.15,0.50,0.35,0.50,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,12,6,621,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,1.1,1.1,0.8,0.16,0.12,0.28,0.16,0.28,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,14,12,943,1,1,0,0,0,0,0.10,0.10,0.19,0.10,0.19,0.5,0.5,0.4,0.04,0.04,0.08,0.04,0.08,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,14,8,704,3,1,0,0,2,0,0.38,0.13,0.51,0.38,0.51,1.2,1.2,1.0,0.15,0.12,0.27,0.15,0.27,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,27,15,1280,3,2,0,0,2,0,0.21,0.14,0.35,0.21,0.35,1.1,1.1,2.0,0.08,0.14,0.22,0.08,0.22,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,14,7,679,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.03,0.02,0.06,0.03,0.06,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,32,31,2742,1,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,1.7,1.7,3.6,0.05,0.12,0.17,0.05,0.17,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,34,29,2530,1,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,2.5,2.5,1.1,0.09,0.04,0.13,0.09,0.13,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,22,15,1259,1,0,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.2,0.03,0.01,0.04,0.03,0.04,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,22,22,1979,0,1,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.3,0.01,0.02,0.03,0.01,0.03,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,4,0,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.21,0.21,0.00,0.21,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,20,8,764,0,2,0,0,2,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,2.7,0.12,0.32,0.44,0.12,0.44,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,13,11,917,1,4,0,0,0,0,0.10,0.39,0.49,0.10,0.49,1.8,1.8,2.3,0.17,0.22,0.40,0.17,0.40,Matches
