,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
37,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-269,1993,10,10,900,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,1.0,1.0,1.2,0.10,0.12,0.22,0.10,0.22,Matches
38,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-140,1989,3,1,117,1,0,0,0,0,0,0.77,0.00,0.77,0.77,0.77,0.6,0.6,0.1,0.48,0.11,0.59,0.48,0.59,Matches
39,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-089,1993,10,10,849,7,1,0,0,1,0,0.74,0.11,0.85,0.74,0.85,7.2,7.2,0.6,0.76,0.07,0.83,0.76,0.83,Matches
40,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-158,1985,3,3,270,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
41,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,26-364,1993,2,0,42,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
42,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,26-364,1993,6,6,454,2,1,0,0,0,0,0.40,0.20,0.59,0.40,0.59,1.5,1.5,1.7,0.30,0.34,0.64,0.30,0.64,Matches
43,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-034,1989,6,6,461,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,0.17,0.05,0.22,0.17,0.22,Matches
44,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,22-360,1997,10,8,718,3,1,0,0,0,0,0.38,0.13,0.50,0.38,0.50,2.7,2.7,0.2,0.33,0.02,0.36,0.33,0.36,Matches
45,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-195,1991,7,7,630,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,1.0,1.0,0.0,0.14,0.00,0.14,0.14,0.14,Matches
46,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,32-136,1988,10,10,817,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.02,0.03,0.06,0.02,0.06,Matches
47,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-062,1993,7,4,380,0,1,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.6,0.6,0.9,0.14,0.21,0.35,0.14,0.35,Matches
48,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-235,1996,10,10,810,1,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,0.6,0.6,0.1,0.07,0.01,0.08,0.07,0.08,Matches
49,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-229,1997,7,1,181,1,0,0,0,0,0,0.50,0.00,0.50,0.50,0.50,0.3,0.3,0.0,0.13,0.02,0.15,0.13,0.15,Matches
50,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-259,1995,10,10,900,0,2,0,0,4,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,1.2,0.01,0.12,0.13,0.01,0.13,Matches
51,Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,25-115,1995,3,0,66,0,2,0,0,0,0,0.00,2.73,2.73,0.00,2.73,0.1,0.1,0.4,0.19,0.53,0.72,0.19,0.72,Matches
52,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,20-364,1999,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.18,0.00,0.18,0.18,0.18,Matches
53,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-000,1990,6,0,64,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.29,0.20,1.48,1.29,1.48,Matches
54,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-037,1990,4,3,240,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.16,0.03,0.19,0.16,0.19,Matches
55,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22-293,1998,10,9,825,1,1,1,1,4,0,0.11,0.11,0.22,0.00,0.11,1.0,0.3,1.2,0.11,0.13,0.24,0.03,0.16,Matches
56,Steven Bergwijn\Steven-Bergwijn,nl NED,FW,Tottenham,23-056,1997,6,3,314,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.09,0.08,0.16,0.09,0.16,Matches
57,Bernard\Bernard,br BRA,MFFW,Everton,28-086,1992,4,1,175,1,0,0,0,1,0,0.51,0.00,0.51,0.51,0.51,0.1,0.1,0.4,0.04,0.18,0.22,0.04,0.22,Matches
58,Bernardo\Bernardo,br BRA,DF,Brighton,25-203,1995,1,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
59,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-120,1989,9,9,798,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.03,0.04,0.07,0.03,0.07,Matches
60,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-095,1996,9,9,808,1,0,0,0,3,1,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.0,0.05,0.00,0.05,0.05,0.05,Matches
61,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,29-304,1991,10,10,900,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.03,0.00,0.03,0.03,0.03,Matches
62,Jarrod Bowen\Jarrod-Bowen,eng ENG,MFFW,West Ham,23-349,1996,10,10,828,4,1,0,0,0,0,0.43,0.11,0.54,0.43,0.54,2.4,2.4,0.5,0.26,0.06,0.32,0.26,0.32,Matches
63,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,28-324,1992,5,2,186,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.06,0.00,0.06,0.06,0.06,Matches
64,Rhian Brewster\Rhian-Brewster,eng ENG,FWMF,Sheffield Utd,20-246,2000,6,3,295,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.4,0.22,0.11,0.33,0.22,0.33,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,24-350,1995,8,8,720,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.05,0.04,0.09,0.05,0.09,Matches
66,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-077,1993,6,4,338,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches
67,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-032,1996,1,1,62,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches
68,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-240,1997,5,4,328,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.7,0.17,0.19,0.36,0.17,0.36,Matches
69,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-208,1992,6,4,395,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.03,0.04,0.01,0.04,Matches
70,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-247,1998,1,0,22,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
71,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-066,1981,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
72,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,34-350,1985,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.00,0.03,0.03,0.03,Matches
73,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,29-318,1991,8,8,687,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,0.5,0.5,1.4,0.07,0.18,0.25,0.07,0.25,Matches
74,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-262,1997,10,10,878,10,0,0,0,1,0,1.03,0.00,1.03,1.03,1.03,6.2,6.2,0.6,0.64,0.06,0.70,0.64,0.70,Matches
75,João Cancelo\Joao-Cancelo,pt POR,DFMF,Manchester City,26-190,1994,5,5,450,0,1,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,1.3,0.02,0.26,0.28,0.02,0.28,Matches
76,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,20-298,2000,6,0,152,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.18,0.22,0.40,0.18,0.40,Matches
77,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,31-332,1989,7,2,183,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.24,0.02,0.26,0.24,0.26,Matches
78,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-118,1997,9,9,772,0,1,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.5,0.01,0.06,0.07,0.01,0.07,Matches
79,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,24-364,1995,6,6,540,1,2,0,0,1,0,0.17,0.33,0.50,0.17,0.50,0.3,0.3,0.5,0.05,0.08,0.13,0.05,0.13,Matches
