,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,25-353,1995,1,0,16,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-121,1998,20,19,1666,18.5,1,3,0,0,1,0,0.05,0.16,0.22,0.05,0.22,1.5,1.5,2.5,0.08,0.13,0.21,0.08,0.21,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-359,1992,19,16,1261,14.0,2,0,0,0,3,0,0.14,0.00,0.14,0.14,0.14,1.0,1.0,1.5,0.07,0.10,0.17,0.07,0.17,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-126,1992,18,18,1620,18.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
18,Allan\Allan,br BRA,MF,Everton,30-028,1991,12,12,1028,11.4,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
19,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,24-300,1996,4,1,77,0.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.22,0.00,0.22,0.22,0.22,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26-361,1994,20,14,1280,14.2,2,1,0,0,1,0,0.14,0.07,0.21,0.14,0.21,1.8,1.8,1.9,0.12,0.14,0.26,0.12,0.26,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-039,1990,5,5,405,4.5,1,0,0,0,1,0,0.22,0.00,0.22,0.22,0.22,0.4,0.4,0.1,0.08,0.02,0.10,0.08,0.10,Matches
22,Steven Alzate\Steven-Alzate,co COL,MF,Brighton,22-150,1998,9,6,612,6.8,1,0,0,0,1,0,0.15,0.00,0.15,0.15,0.15,0.5,0.5,0.4,0.08,0.05,0.13,0.08,0.13,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-046,1994,5,3,280,3.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-144,2000,16,15,1331,14.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,0.02,0.05,0.07,0.02,0.07,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-250,1996,15,15,1321,14.7,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-091,2002,1,0,4,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-296,1993,2,0,3,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-314,1990,14,12,995,11.1,5,3,0,0,1,0,0.45,0.27,0.72,0.45,0.72,5.9,5.9,1.3,0.53,0.12,0.65,0.53,0.65,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-344,1993,20,20,1800,20.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-312,1992,18,17,1484,16.5,3,2,0,0,1,0,0.18,0.12,0.30,0.18,0.30,1.4,1.4,1.4,0.09,0.08,0.17,0.09,0.17,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-125,1994,3,3,270,3.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-232,1989,18,17,1544,17.2,5,1,1,1,2,0,0.29,0.06,0.35,0.23,0.29,6.1,5.3,1.5,0.35,0.09,0.44,0.31,0.40,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-043,1992,12,12,1008,11.2,2,1,0,0,0,0,0.18,0.09,0.27,0.18,0.27,0.9,0.9,1.2,0.08,0.11,0.19,0.08,0.19,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-215,1989,5,0,138,1.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.13,0.00,0.13,0.13,0.13,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,29-147,1991,18,11,1055,11.7,1,2,0,0,1,0,0.09,0.17,0.26,0.09,0.26,1.5,1.5,0.3,0.13,0.03,0.16,0.13,0.16,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-164,1991,21,21,1869,20.8,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,1.7,0.04,0.08,0.12,0.04,0.12,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-161,1989,12,10,951,10.6,1,1,0,0,4,0,0.09,0.09,0.19,0.09,0.19,0.6,0.6,0.4,0.06,0.04,0.10,0.06,0.10,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-299,1994,7,6,548,6.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-166,1991,12,12,1080,12.0,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.05,0.00,0.05,0.05,0.05,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-333,1993,19,19,1663,18.5,0,1,0,0,3,0,0.00,0.05,0.05,0.00,0.05,1.0,1.0,1.3,0.06,0.07,0.13,0.06,0.13,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-204,1989,6,2,232,2.6,1,0,0,0,0,0,0.39,0.00,0.39,0.39,0.39,0.6,0.6,0.3,0.25,0.11,0.36,0.25,0.36,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-153,1993,21,21,1784,19.8,11,5,1,1,1,0,0.55,0.25,0.81,0.50,0.76,11.6,10.9,2.5,0.59,0.13,0.72,0.55,0.68,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-222,1985,3,3,270,3.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-062,1993,2,0,42,0.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-062,1993,11,11,839,9.3,3,1,0,0,0,0,0.32,0.11,0.43,0.32,0.43,2.4,2.4,2.2,0.26,0.23,0.49,0.26,0.49,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-098,1989,15,12,1023,11.4,2,0,1,1,4,0,0.18,0.00,0.18,0.09,0.09,3.2,2.4,0.6,0.28,0.05,0.33,0.21,0.26,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-058,1997,21,18,1625,18.1,7,3,0,0,0,0,0.39,0.17,0.55,0.39,0.55,4.9,4.9,0.9,0.27,0.05,0.33,0.27,0.33,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-259,1991,14,12,1150,12.8,2,1,0,0,2,0,0.16,0.08,0.23,0.16,0.23,1.5,1.5,0.0,0.11,0.00,0.12,0.11,0.12,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-200,1988,22,22,1806,20.1,0,1,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,0.7,0.03,0.04,0.06,0.03,0.06,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-126,1993,14,6,615,6.8,1,1,0,0,0,0,0.15,0.15,0.29,0.15,0.29,1.1,1.1,1.3,0.16,0.19,0.35,0.16,0.35,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-299,1996,21,21,1795,19.9,1,1,0,0,1,1,0.05,0.05,0.10,0.05,0.10,0.8,0.8,0.2,0.04,0.01,0.05,0.04,0.05,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-293,1997,12,2,310,3.4,1,0,0,0,1,0,0.29,0.00,0.29,0.29,0.29,0.3,0.3,0.1,0.08,0.02,0.10,0.08,0.10,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-323,1995,19,19,1640,18.2,0,2,0,0,7,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,2.2,0.01,0.12,0.14,0.01,0.14,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-179,1995,14,8,788,8.8,0,3,0,0,0,0,0.00,0.34,0.34,0.00,0.34,1.6,1.6,1.8,0.18,0.20,0.38,0.18,0.38,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-062,1999,6,2,264,2.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.06,0.00,0.06,0.06,0.06,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-064,1990,15,8,710,7.9,3,1,0,0,2,1,0.38,0.13,0.51,0.38,0.51,3.4,3.4,0.8,0.43,0.11,0.54,0.43,0.54,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-101,1990,10,6,551,6.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.13,0.01,0.14,0.13,0.14,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22-357,1998,13,12,1016,11.3,1,1,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,0.11,0.11,0.22,0.04,0.15,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-120,1997,15,11,1004,11.2,0,2,0,0,2,0,0.00,0.18,0.18,0.00,0.18,1.7,1.7,1.0,0.15,0.09,0.25,0.15,0.25,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-150,1992,6,2,274,3.0,1,0,0,0,2,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.5,0.05,0.15,0.20,0.05,0.20,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-267,1995,3,2,206,2.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.13,0.09,0.22,0.13,0.22,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-184,1989,19,19,1698,18.9,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,0.03,0.03,0.05,0.03,0.05,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-159,1996,20,19,1673,18.6,1,0,0,0,6,1,0.05,0.00,0.05,0.05,0.05,0.6,0.6,0.3,0.03,0.02,0.05,0.03,0.05,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-193,2000,7,5,525,5.8,2,0,0,0,1,0,0.34,0.00,0.34,0.34,0.34,0.9,0.9,0.2,0.16,0.04,0.20,0.16,0.20,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-002,1991,16,16,1440,16.0,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.4,0.06,0.02,0.09,0.06,0.09,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-047,1996,22,20,1621,18.0,5,3,0,0,0,0,0.28,0.17,0.44,0.28,0.44,4.1,4.1,1.9,0.23,0.10,0.33,0.23,0.33,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-022,1992,15,12,960,10.7,1,1,0,0,2,0,0.09,0.09,0.19,0.09,0.19,0.7,0.7,0.9,0.07,0.08,0.15,0.07,0.15,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-310,2000,17,7,733,8.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,1.1,0.15,0.13,0.29,0.15,0.29,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-048,1995,18,18,1575,17.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,0.05,0.03,0.08,0.05,0.08,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-141,1993,11,5,452,5.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-096,1996,4,3,228,2.5,1,0,0,0,0,0,0.39,0.00,0.39,0.39,0.39,0.3,0.3,0.0,0.11,0.02,0.13,0.11,0.13,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-304,1997,15,10,843,9.4,1,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,1.8,1.8,1.7,0.19,0.18,0.38,0.19,0.38,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-272,1992,14,11,1022,11.4,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.06,0.01,0.07,0.06,0.07,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,31-344,1989,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-311,1998,1,0,22,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-130,1981,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-048,1985,8,8,720,8.0,1,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-016,1991,10,9,759,8.4,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,0.08,0.17,0.25,0.08,0.25,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-326,1997,19,19,1672,18.6,12,0,0,0,3,0,0.65,0.00,0.65,0.65,0.65,9.8,9.8,0.8,0.53,0.04,0.57,0.53,0.57,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-254,1994,16,15,1343,14.9,1,2,0,0,3,0,0.07,0.13,0.20,0.07,0.20,1.1,1.1,2.9,0.07,0.20,0.27,0.07,0.27,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,20-362,2000,10,0,253,2.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.13,0.13,0.26,0.13,0.26,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-030,1989,13,4,369,4.1,1,0,0,0,1,0,0.24,0.00,0.24,0.24,0.24,1.1,1.1,0.1,0.28,0.02,0.30,0.28,0.30,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-182,1997,19,19,1672,18.6,0,2,0,0,5,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,1.7,0.01,0.09,0.11,0.01,0.11,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-126,1986,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-062,1995,13,13,1085,12.1,1,2,0,0,1,0,0.08,0.17,0.25,0.08,0.25,0.4,0.4,0.7,0.03,0.06,0.10,0.03,0.10,Matches
86,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-110,1993,19,15,1344,14.9,3,0,1,2,2,0,0.20,0.00,0.20,0.13,0.13,4.0,3.3,1.5,0.27,0.10,0.37,0.22,0.32,Matches
87,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33-357,1987,15,6,672,7.5,5,2,0,0,1,0,0.67,0.27,0.94,0.67,0.94,4.5,4.5,1.3,0.60,0.17,0.77,0.60,0.77,Matches
88,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-182,1996,16,10,1019,11.3,0,1,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,2.0,0.01,0.18,0.19,0.01,0.19,Matches
89,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-046,1996,17,17,1425,15.8,2,4,0,0,2,0,0.13,0.25,0.38,0.13,0.38,1.2,1.2,1.1,0.07,0.07,0.14,0.07,0.14,Matches
90,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-127,1997,4,2,131,1.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
91,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-301,1996,6,5,459,5.1,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
92,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-132,1989,12,11,1025,11.4,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03,Matches
93,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-306,1991,11,11,965,10.7,0,1,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
94,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27-346,1993,21,21,1863,20.7,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.01,0.00,0.01,0.01,0.01,Matches
95,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-117,1988,12,8,667,7.4,0,1,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.6,0.02,0.08,0.10,0.02,0.10,Matches
96,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-008,2000,13,7,601,6.7,2,1,0,0,0,0,0.30,0.15,0.45,0.30,0.45,2.8,2.8,0.2,0.42,0.02,0.44,0.42,0.44,Matches
97,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-159,1991,15,15,1331,14.8,1,0,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.0,0.04,0.00,0.04,0.04,0.04,Matches
98,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-225,1989,3,2,205,2.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
99,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-024,1994,13,8,694,7.7,2,2,0,0,0,0,0.26,0.26,0.52,0.26,0.52,1.0,1.0,0.8,0.13,0.11,0.24,0.13,0.24,Matches
100,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-167,1992,18,18,1614,17.9,0,3,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,2.3,0.02,0.13,0.15,0.02,0.15,Matches
101,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-052,1989,22,22,1980,22.0,0,5,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.7,0.7,3.0,0.03,0.14,0.17,0.03,0.17,Matches
102,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-033,1998,2,0,25,0.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.61,0.00,0.61,0.61,0.61,Matches
103,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-292,1991,21,21,1880,20.9,4,1,0,0,4,0,0.19,0.05,0.24,0.19,0.24,2.4,2.4,1.2,0.11,0.06,0.17,0.11,0.17,Matches
104,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33-357,1987,10,10,900,10.0,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.0,0.03,0.00,0.04,0.03,0.04,Matches
105,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-120,1990,22,22,1980,22.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
106,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-287,1993,16,11,1042,11.6,0,1,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,0.6,0.01,0.06,0.07,0.01,0.07,Matches
107,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,22-220,1998,12,7,582,6.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.01,0.08,0.08,0.01,0.08,Matches
108,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,22-358,1998,5,0,53,0.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.48,0.04,0.53,0.48,0.53,Matches
109,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-024,2000,2,0,33,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
110,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-275,1990,7,7,630,7.0,2,0,0,0,0,0,0.29,0.00,0.29,0.29,0.29,0.9,0.9,0.0,0.13,0.00,0.13,0.13,0.13,Matches
111,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-222,1991,17,16,1406,15.6,3,10,2,3,1,0,0.19,0.64,0.83,0.06,0.70,8.1,5.8,6.8,0.52,0.44,0.96,0.37,0.81,Matches
