,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
27,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-310,1990,13,11,905,10.1,5,1,0,0,1,0,0.50,0.10,0.60,0.50,0.60,5.4,5.4,1.2,0.53,0.12,0.65,0.53,0.65,Matches
28,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-340,1993,19,19,1710,19.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
29,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-308,1992,17,16,1394,15.5,3,2,0,0,0,0,0.19,0.13,0.32,0.19,0.32,1.4,1.4,1.4,0.09,0.09,0.18,0.09,0.18,Matches
30,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-121,1994,3,3,270,3.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
31,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-228,1989,17,17,1514,16.8,5,1,1,1,2,0,0.30,0.06,0.36,0.24,0.30,6.0,5.2,1.5,0.36,0.09,0.45,0.31,0.40,Matches
32,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-039,1992,11,11,918,10.2,2,1,0,0,0,0,0.20,0.10,0.29,0.20,0.29,0.8,0.8,1.1,0.08,0.10,0.19,0.08,0.19,Matches
33,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-211,1989,5,0,138,1.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.13,0.00,0.13,0.13,0.13,Matches
34,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,29-143,1991,17,10,965,10.7,1,2,0,0,0,0,0.09,0.19,0.28,0.09,0.28,1.3,1.3,0.3,0.12,0.03,0.15,0.12,0.15,Matches
35,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-160,1991,20,20,1779,19.8,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.5,0.03,0.08,0.11,0.03,0.11,Matches
36,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-157,1989,11,9,861,9.6,1,1,0,0,3,0,0.10,0.10,0.21,0.10,0.21,0.5,0.5,0.3,0.06,0.04,0.09,0.06,0.09,Matches
37,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-295,1994,7,6,548,6.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
38,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-162,1991,12,12,1080,12.0,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.05,0.00,0.05,0.05,0.05,Matches
39,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27-329,1993,18,18,1620,18.0,0,1,0,0,3,0,0.00,0.06,0.06,0.00,0.06,1.0,1.0,1.3,0.06,0.07,0.13,0.06,0.13,Matches
40,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-200,1989,6,2,232,2.6,1,0,0,0,0,0,0.39,0.00,0.39,0.39,0.39,0.6,0.6,0.3,0.25,0.11,0.36,0.25,0.36,Matches
41,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-149,1993,20,20,1694,18.8,11,4,1,1,1,0,0.58,0.21,0.80,0.53,0.74,11.4,10.6,2.4,0.60,0.13,0.73,0.56,0.69,Matches
42,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-218,1985,3,3,270,3.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
43,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-058,1993,2,0,42,0.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-058,1993,10,10,771,8.6,3,1,0,0,0,0,0.35,0.12,0.47,0.35,0.47,2.3,2.3,2.1,0.27,0.25,0.52,0.27,0.52,Matches
45,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-094,1989,15,12,1023,11.4,2,0,1,1,4,0,0.18,0.00,0.18,0.09,0.09,3.2,2.4,0.6,0.28,0.05,0.33,0.21,0.26,Matches
46,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-054,1997,20,17,1550,17.2,7,3,0,0,0,0,0.41,0.17,0.58,0.41,0.58,4.8,4.8,0.9,0.28,0.05,0.33,0.28,0.33,Matches
47,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-255,1991,13,11,1060,11.8,2,1,0,0,2,0,0.17,0.08,0.25,0.17,0.25,1.5,1.5,0.0,0.12,0.00,0.13,0.12,0.13,Matches
48,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-196,1988,21,21,1716,19.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,0.03,0.03,0.06,0.03,0.06,Matches
49,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-122,1993,13,5,543,6.0,1,1,0,0,0,0,0.17,0.17,0.33,0.17,0.33,1.1,1.1,1.3,0.18,0.22,0.39,0.18,0.39,Matches
50,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-295,1996,20,20,1710,19.0,1,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,0.8,0.8,0.2,0.04,0.01,0.05,0.04,0.05,Matches
51,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-289,1997,11,2,265,2.9,1,0,0,0,0,0,0.34,0.00,0.34,0.34,0.34,0.3,0.3,0.1,0.09,0.03,0.12,0.09,0.12,Matches
52,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-319,1995,18,18,1550,17.2,0,2,0,0,7,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,2.2,0.02,0.13,0.14,0.02,0.14,Matches
53,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-175,1995,13,7,701,7.8,0,2,0,0,0,0,0.00,0.26,0.26,0.00,0.26,1.4,1.4,1.6,0.18,0.20,0.38,0.18,0.38,Matches
54,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-058,1999,5,2,254,2.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.06,0.00,0.06,0.06,0.06,Matches
55,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-060,1990,14,8,692,7.7,3,1,0,0,2,1,0.39,0.13,0.52,0.39,0.52,3.4,3.4,0.8,0.45,0.11,0.56,0.45,0.56,Matches
56,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-097,1990,9,5,461,5.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.15,0.02,0.17,0.15,0.17,Matches
57,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22-353,1998,13,12,1016,11.3,1,1,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,0.11,0.11,0.22,0.04,0.15,Matches
58,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-116,1997,14,10,936,10.4,0,2,0,0,2,0,0.00,0.19,0.19,0.00,0.19,1.8,1.8,1.0,0.17,0.10,0.27,0.17,0.27,Matches
59,Bernard\Bernard,br BRA,FWMF,Everton,28-146,1992,6,2,274,3.0,1,0,0,0,2,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.5,0.05,0.15,0.20,0.05,0.20,Matches
60,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-263,1995,3,2,206,2.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.13,0.09,0.22,0.13,0.22,Matches
61,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-180,1989,18,18,1608,17.9,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,0.03,0.03,0.06,0.03,0.06,Matches
62,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-155,1996,19,18,1583,17.6,1,0,0,0,6,1,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.3,0.03,0.02,0.05,0.03,0.05,Matches
63,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-189,2000,6,4,435,4.8,1,0,0,0,1,0,0.21,0.00,0.21,0.21,0.21,0.7,0.7,0.2,0.15,0.04,0.18,0.15,0.18,Matches
64,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,29-364,1991,15,15,1350,15.0,1,1,0,0,1,0,0.07,0.07,0.13,0.07,0.13,0.8,0.8,0.4,0.06,0.03,0.08,0.06,0.08,Matches
65,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-043,1996,21,20,1620,18.0,5,3,0,0,0,0,0.28,0.17,0.44,0.28,0.44,4.1,4.1,1.9,0.23,0.10,0.33,0.23,0.33,Matches
66,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-018,1992,15,12,960,10.7,1,1,0,0,2,0,0.09,0.09,0.19,0.09,0.19,0.7,0.7,0.9,0.07,0.08,0.15,0.07,0.15,Matches
67,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-306,2000,17,7,733,8.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,1.1,0.15,0.13,0.29,0.15,0.29,Matches
68,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-044,1995,18,18,1575,17.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,0.05,0.03,0.08,0.05,0.08,Matches
69,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-137,1993,11,5,452,5.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06,Matches
70,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-092,1996,4,3,228,2.5,1,0,0,0,0,0,0.39,0.00,0.39,0.39,0.39,0.3,0.3,0.0,0.11,0.02,0.13,0.11,0.13,Matches
71,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-300,1997,14,10,838,9.3,1,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,1.8,1.8,1.7,0.20,0.19,0.38,0.20,0.38,Matches
72,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-268,1992,13,10,932,10.4,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.03,0.01,0.05,0.03,0.05,Matches
73,David Button\David-Button,eng ENG,GK,West Brom,31-340,1989,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
74,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-307,1998,1,0,22,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-126,1981,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-044,1985,7,7,630,7.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.02,0.05,0.07,0.02,0.07,Matches
77,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-012,1991,10,9,759,8.4,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,0.08,0.17,0.25,0.08,0.25,Matches
78,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-322,1997,18,18,1582,17.6,11,0,0,0,3,0,0.63,0.00,0.63,0.63,0.63,8.6,8.6,0.8,0.49,0.05,0.53,0.49,0.53,Matches
79,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-250,1994,15,14,1280,14.2,1,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,0.8,0.8,2.9,0.06,0.21,0.26,0.06,0.26,Matches
80,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,20-358,2000,10,0,253,2.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.13,0.13,0.26,0.13,0.26,Matches
81,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-026,1989,12,4,367,4.1,1,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.9,0.9,0.1,0.22,0.02,0.23,0.22,0.23,Matches
82,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-178,1997,18,18,1582,17.6,0,2,0,0,5,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,1.6,0.02,0.09,0.11,0.02,0.11,Matches
83,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-122,1986,1,1,90,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
84,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-058,1995,13,13,1085,12.1,1,2,0,0,1,0,0.08,0.17,0.25,0.08,0.25,0.4,0.4,0.7,0.03,0.06,0.10,0.03,0.10,Matches
85,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-106,1993,18,15,1299,14.4,3,0,1,2,1,0,0.21,0.00,0.21,0.14,0.14,4.0,3.2,1.5,0.27,0.10,0.38,0.22,0.32,Matches
86,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33-353,1987,14,5,627,7.0,4,2,0,0,1,0,0.57,0.29,0.86,0.57,0.86,4.4,4.4,1.3,0.63,0.18,0.81,0.63,0.81,Matches
87,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-178,1996,16,10,1019,11.3,0,1,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,2.0,0.01,0.18,0.19,0.01,0.19,Matches
88,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-042,1996,17,17,1425,15.8,2,4,0,0,2,0,0.13,0.25,0.38,0.13,0.38,1.2,1.2,1.1,0.08,0.07,0.15,0.08,0.15,Matches
89,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-123,1997,3,1,71,0.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
90,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-297,1996,5,5,404,4.5,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
91,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-128,1989,11,10,937,10.4,1,0,0,0,2,0,0.10,0.00,0.10,0.10,0.10,0.2,0.2,0.1,0.02,0.01,0.02,0.02,0.02,Matches
92,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-302,1991,10,10,875,9.7,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.3,0.01,0.03,0.04,0.01,0.04,Matches
93,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27-342,1993,20,20,1773,19.7,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.01,0.01,0.02,0.01,0.02,Matches
94,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-113,1988,12,8,667,7.4,0,1,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.6,0.02,0.08,0.10,0.02,0.10,Matches
95,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-004,2000,12,7,593,6.6,2,1,0,0,0,0,0.30,0.15,0.46,0.30,0.46,2.8,2.8,0.2,0.43,0.02,0.45,0.43,0.45,Matches
96,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-155,1991,14,14,1241,13.8,1,0,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.0,0.05,0.00,0.05,0.05,0.05,Matches
97,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-221,1989,2,1,135,1.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
98,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-020,1994,12,8,690,7.7,2,2,0,0,0,0,0.26,0.26,0.52,0.26,0.52,1.0,1.0,0.8,0.13,0.11,0.24,0.13,0.24,Matches
99,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-163,1992,17,17,1524,16.9,0,3,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.4,0.4,2.2,0.02,0.13,0.15,0.02,0.15,Matches
100,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-048,1989,21,21,1890,21.0,0,5,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.6,0.6,2.7,0.03,0.13,0.16,0.03,0.16,Matches
101,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-029,1998,2,0,25,0.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.61,0.00,0.61,0.61,0.61,Matches
102,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-288,1991,20,20,1790,19.9,4,1,0,0,4,0,0.20,0.05,0.25,0.20,0.25,2.3,2.3,1.0,0.12,0.05,0.17,0.12,0.17,Matches
103,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33-353,1987,9,9,810,9.0,1,0,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.3,0.3,0.0,0.04,0.00,0.04,0.04,0.04,Matches
104,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,30-116,1990,21,21,1890,21.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
105,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,27-283,1993,15,10,952,10.6,0,1,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,0.6,0.02,0.06,0.08,0.02,0.08,Matches
106,Tom Davies\Tom-Davies,eng ENG,MFDF,Everton,22-216,1998,11,7,580,6.4,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.01,0.08,0.08,0.01,0.08,Matches
107,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,22-354,1998,5,0,53,0.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.48,0.04,0.53,0.48,0.53,Matches
108,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,21-020,2000,2,0,33,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
109,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30-271,1990,6,6,540,6.0,2,0,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.9,0.9,0.0,0.15,0.01,0.16,0.15,0.16,Matches
110,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29-218,1991,17,16,1406,15.6,3,10,2,3,1,0,0.19,0.64,0.83,0.06,0.70,8.1,5.8,6.8,0.52,0.44,0.96,0.37,0.81,Matches
111,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,17-359,2003,1,0,40,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches
