,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-054,1996,23,21,1676,18.6,5,3,5,0,0,0,0,0.27,0.16,0.43,0.27,0.43,4.4,4.4,1.9,6.3,0.24,0.10,0.34,0.24,0.34,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-029,1992,15,12,960,10.7,1,1,1,0,0,2,0,0.09,0.09,0.19,0.09,0.19,0.7,0.7,0.9,1.6,0.07,0.08,0.15,0.07,0.15,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-317,2000,18,7,738,8.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,1.1,2.4,0.16,0.13,0.29,0.16,0.29,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-055,1995,18,18,1575,17.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.6,1.4,0.05,0.03,0.08,0.05,0.08,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-148,1993,11,5,452,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.03,0.03,0.06,0.03,0.06,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-103,1996,5,4,295,3.3,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,0.3,0.3,0.0,0.3,0.09,0.01,0.10,0.09,0.10,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-311,1997,16,11,904,10.0,1,1,1,0,0,2,0,0.10,0.10,0.20,0.10,0.20,2.0,2.0,1.7,3.8,0.20,0.17,0.37,0.20,0.37,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-279,1992,15,12,1112,12.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.8,0.06,0.01,0.07,0.06,0.07,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,31-351,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-318,1998,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
