,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,Apps,Starts,Min,Mn/Ap,Gls,Ast,PK,PKatt,SoT,Fls,CrdY,CrdR,xG,npxG,xA,Gls,G+A,G-PK,G+A-PK,SoT,xG,xG+xA,npxG,npxG+xA
36,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,12,12,1080,90,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Nathan Aké\Nathan-Ake,nl NED,MFDF,Bournemouth,24,1995,12,12,1080,90,1,1,0,0,2,3,1,0,0.6,0.6,0.7,0.08,0.17,0.08,0.17,0.17,0.05,0.11,0.05,0.11
38,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,12,12,1080,90,0,1,0,0,1,4,3,0,0.5,0.5,0.1,0.00,0.08,0.00,0.08,0.08,0.04,0.05,0.04,0.05
39,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,12,12,1078,90,0,0,0,0,0,9,1,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
40,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,12,12,1073,89,3,3,0,0,6,11,0,0,1.7,1.7,2.0,0.25,0.50,0.25,0.50,0.50,0.14,0.31,0.14,0.31
41,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,12,12,1069,89,0,0,0,0,0,10,0,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
42,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,12,12,1068,89,0,0,0,0,2,22,3,0,0.3,0.3,0.2,0.00,0.00,0.00,0.00,0.17,0.02,0.04,0.02,0.04
43,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,12,12,1067,89,6,2,0,0,18,11,2,0,5.0,5.0,2.2,0.51,0.67,0.51,0.67,1.52,0.42,0.60,0.42,0.60
44,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,12,12,1067,89,2,1,0,0,6,20,1,0,1.0,1.0,0.6,0.17,0.25,0.17,0.25,0.51,0.09,0.13,0.09,0.13
45,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,12,12,1063,89,0,3,0,0,2,15,1,0,0.6,0.6,2.1,0.00,0.25,0.00,0.25,0.17,0.05,0.23,0.05,0.23
