,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,Apps,Starts,Min,Mn/Ap,Gls,Ast,PK,PKatt,SoT,Fls,CrdY,CrdR,xG,npxG,xA,Gls,G+A,G-PK,G+A-PK,SoT,xG,xG+xA,npxG,npxG+xA
226,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,MF,Everton,22,1997,10,6,521,52,3,0,0,0,5,12,1,0,3.3,3.3,0.0,0.52,0.52,0.52,0.52,0.86,0.58,0.58,0.58,0.58
227,Solly March\Solly-March,eng ENG,MF,Brighton,25,1994,7,5,518,74,0,1,0,0,3,3,1,0,0.3,0.3,0.5,0.00,0.17,0.00,0.17,0.52,0.06,0.15,0.06,0.15
228,Fred\Fred,br BRA,MFFW,Manchester Utd,26,1993,8,5,508,64,0,0,0,0,3,10,2,0,0.7,0.7,0.5,0.00,0.00,0.00,0.00,0.53,0.12,0.21,0.12,0.21
229,Roberto\Roberto,es ESP,GK,West Ham,33,1986,6,5,506,84,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
230,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,28,1991,10,5,505,51,1,0,0,0,3,4,0,0,0.2,0.2,0.4,0.18,0.18,0.18,0.18,0.53,0.03,0.11,0.03,0.11
231,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,7,5,498,71,1,2,0,0,2,7,3,0,0.4,0.4,0.8,0.18,0.54,0.18,0.54,0.36,0.08,0.23,0.08,0.23
232,Ryan Bertrand\Ryan-Bertrand,eng ENG,MFDF,Southampton,29,1989,7,6,493,70,0,0,0,0,0,3,1,1,0.2,0.2,0.5,0.00,0.00,0.00,0.00,0.00,0.04,0.14,0.04,0.14
233,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,6,6,492,82,0,0,0,0,1,4,2,0,0.1,0.1,0.5,0.00,0.00,0.00,0.00,0.18,0.01,0.10,0.01,0.10
234,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,7,6,492,70,2,0,0,0,3,1,0,0,0.4,0.4,0.7,0.37,0.37,0.37,0.37,0.55,0.08,0.20,0.08,0.20
235,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,MFFW,Arsenal,21,1997,6,6,490,82,0,2,0,0,0,6,2,1,0.2,0.2,1.3,0.00,0.37,0.00,0.37,0.00,0.03,0.27,0.03,0.27
236,Dominic Solanke\Dominic-Solanke,eng ENG,FW,Bournemouth,21,1997,11,5,483,44,0,0,0,0,5,2,0,0,1.5,1.5,0.2,0.00,0.00,0.00,0.00,0.93,0.28,0.32,0.28,0.32
237,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,8,6,482,60,0,0,0,0,5,5,0,0,1.5,1.5,1.1,0.00,0.00,0.00,0.00,0.93,0.27,0.48,0.27,0.48
238,Pablo Fornals\Pablo-Fornals,es ESP,MF,West Ham,23,1996,11,5,482,44,0,0,0,0,2,3,0,0,0.8,0.8,0.8,0.00,0.00,0.00,0.00,0.37,0.15,0.30,0.15,0.30
239,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,10,5,480,48,1,0,0,0,2,9,2,0,1.2,1.2,0.6,0.19,0.19,0.19,0.19,0.37,0.22,0.33,0.22,0.33
240,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,9,6,470,52,0,0,0,0,2,7,0,0,1.5,1.5,0.2,0.00,0.00,0.00,0.00,0.38,0.28,0.32,0.28,0.32
241,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,6,6,467,78,1,1,0,0,1,2,0,0,0.4,0.4,0.6,0.19,0.39,0.19,0.39,0.19,0.08,0.19,0.08,0.19
242,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,6,5,466,78,1,0,0,0,1,4,1,0,0.6,0.6,0.0,0.19,0.19,0.19,0.19,0.19,0.12,0.13,0.12,0.13
243,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,6,5,461,77,0,0,0,0,1,1,0,0,0.5,0.5,0.0,0.00,0.00,0.00,0.00,0.20,0.09,0.10,0.09,0.10
244,Alexander Tettey\Alexander-Tettey,no NOR,MF,Norwich City,33,1986,7,6,460,66,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
245,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,7,5,459,66,0,0,0,0,0,4,2,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02
246,Riyad Mahrez\Riyad-Mahrez,dz ALG,MFFW,Manchester City,28,1991,8,5,458,57,2,3,0,0,10,2,0,0,1.0,1.0,3.3,0.39,0.98,0.39,0.98,1.97,0.19,0.85,0.19,0.85
247,Christian Atsu\Christian-Atsu,gh GHA,MFFW,Newcastle Utd,27,1992,10,4,452,45,0,2,0,0,1,4,1,0,0.2,0.2,0.8,0.00,0.40,0.00,0.40,0.20,0.03,0.19,0.03,0.19
248,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,9,4,451,50,3,1,0,0,11,9,1,0,4.4,4.4,0.5,0.60,0.80,0.60,0.80,2.20,0.89,0.99,0.89,0.99
249,Ciaran Clark\Ciaran-Clark,ie IRL,MFDF,Newcastle Utd,29,1989,5,5,450,90,2,0,0,0,3,6,2,0,1.0,1.0,0.0,0.40,0.40,0.40,0.40,0.60,0.20,0.21,0.20,0.21
250,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,5,5,450,90,0,2,0,1,1,8,0,0,1.2,0.4,1.5,0.00,0.40,0.00,0.40,0.20,0.23,0.54,0.08,0.39
251,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,8,6,450,56,2,0,0,0,2,6,2,0,0.2,0.2,0.4,0.40,0.40,0.40,0.40,0.40,0.05,0.13,0.05,0.13
252,Sofiane Boufal\Sofiane-Boufal,ma MAR,MF,Southampton,25,1993,9,4,429,48,0,2,0,0,6,15,1,0,0.6,0.6,1.5,0.00,0.42,0.00,0.42,1.26,0.13,0.45,0.13,0.45
253,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,5,5,426,85,0,1,0,0,0,6,3,1,0.0,0.0,1.0,0.00,0.21,0.00,0.21,0.00,0.01,0.22,0.01,0.22
254,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,12,3,421,35,2,0,0,0,5,8,1,0,1.0,1.0,0.3,0.43,0.43,0.43,0.43,1.07,0.22,0.29,0.22,0.29
255,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,6,5,415,69,0,0,0,0,0,3,0,0,0.4,0.4,0.0,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.08
256,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,9,5,411,46,2,0,0,0,6,6,0,0,1.9,1.9,0.1,0.44,0.44,0.44,0.44,1.31,0.42,0.44,0.42,0.44
257,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,7,4,410,59,2,0,0,0,4,6,1,0,1.1,1.1,0.7,0.44,0.44,0.44,0.44,0.88,0.23,0.40,0.23,0.40
258,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,7,5,408,58,2,1,0,0,9,5,1,0,2.0,2.0,0.6,0.44,0.66,0.44,0.66,1.99,0.44,0.57,0.44,0.57
259,Lucas Moura\Lucas-Moura,br BRA,MFFW,Tottenham,26,1992,10,4,403,40,1,1,0,0,6,2,0,0,1.8,1.8,0.2,0.22,0.45,0.22,0.45,1.34,0.41,0.44,0.41,0.44
260,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,9,4,400,44,0,0,0,0,0,10,2,0,0.3,0.3,0.5,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.06,0.17
261,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,5,5,399,80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
262,Djibril Sidibé\Djibril-Sidibe,fr FRA,MFDF,Everton,27,1992,5,4,391,78,0,1,0,0,0,6,2,0,0.0,0.0,0.7,0.00,0.23,0.00,0.23,0.00,0.01,0.17,0.01,0.17
263,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,5,4,377,75,2,0,0,0,2,10,1,0,0.6,0.6,0.3,0.48,0.48,0.48,0.48,0.48,0.15,0.23,0.15,0.23
264,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,9,5,374,42,0,1,0,0,4,2,1,0,1.1,1.1,0.6,0.00,0.24,0.00,0.24,0.96,0.27,0.42,0.27,0.42
265,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,6,4,373,62,1,0,0,0,2,4,1,0,1.0,1.0,0.0,0.24,0.24,0.24,0.24,0.48,0.25,0.25,0.25,0.25
266,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,23,1996,5,4,372,74,2,0,0,0,3,1,1,0,0.7,0.7,0.7,0.48,0.48,0.48,0.48,0.73,0.17,0.34,0.17,0.34
267,Leandro Trossard\Leandro-Trossard,be BEL,FW,Brighton,24,1994,6,4,364,61,2,1,0,0,4,3,0,0,1.1,1.1,2.1,0.49,0.74,0.49,0.74,0.99,0.28,0.78,0.28,0.78
268,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,19,1999,9,4,363,40,0,0,0,0,0,5,0,0,0.1,0.1,0.5,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.02,0.13
269,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,4,4,360,90,0,0,0,0,1,2,1,0,0.2,0.2,0.0,0.00,0.00,0.00,0.00,0.25,0.06,0.06,0.06,0.06
270,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,5,4,360,72,1,0,0,0,2,5,2,0,1.2,1.2,0.0,0.25,0.25,0.25,0.25,0.50,0.31,0.31,0.31,0.31
271,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,9,4,355,39,1,0,0,0,4,6,0,0,1.0,1.0,0.3,0.25,0.25,0.25,0.25,1.01,0.26,0.33,0.26,0.33
272,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,7,4,354,51,1,1,0,0,4,6,2,0,0.8,0.8,1.0,0.25,0.51,0.25,0.51,1.02,0.19,0.45,0.19,0.45
273,James Tomkins\James-Tomkins,eng ENG,DFMF,Crystal Palace,30,1989,4,4,353,88,0,0,0,0,0,4,1,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02
274,Lys Mousset\Lys-Mousset,fr FRA,MF,Sheffield Utd,23,1996,9,3,350,39,3,3,0,0,3,7,0,0,1.5,1.5,1.3,0.77,1.54,0.77,1.54,0.77,0.38,0.72,0.38,0.72
275,Jack Stacey\Jack-Stacey,eng ENG,MFFW,Bournemouth,23,1996,4,4,348,87,0,0,0,0,1,1,2,0,0.1,0.1,0.1,0.00,0.00,0.00,0.00,0.26,0.02,0.04,0.02,0.04
276,Bukayo Saka\Bukayo-Saka,eng ENG,MF,Arsenal,17,2001,6,4,344,57,0,1,0,0,1,7,1,0,0.6,0.6,1.0,0.00,0.26,0.00,0.26,0.26,0.16,0.41,0.16,0.41
277,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,6,5,339,57,0,0,0,0,5,2,0,0,1.2,1.2,1.2,0.00,0.00,0.00,0.00,1.33,0.32,0.62,0.32,0.62
278,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,9,3,323,36,0,0,0,0,1,9,0,0,0.6,0.6,0.4,0.00,0.00,0.00,0.00,0.28,0.16,0.27,0.16,0.27
279,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,8,4,321,40,0,1,0,0,1,3,1,0,0.1,0.1,0.1,0.00,0.28,0.00,0.28,0.28,0.03,0.05,0.03,0.05
280,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,4,4,315,79,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.07,0.19
281,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,28,1990,4,4,312,78,1,0,0,0,2,1,0,0,0.4,0.4,0.3,0.29,0.29,0.29,0.29,0.58,0.10,0.20,0.10,0.20
282,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,4,4,307,77,0,0,0,0,1,4,1,0,0.1,0.1,0.1,0.00,0.00,0.00,0.00,0.29,0.02,0.04,0.02,0.04
283,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,5,3,306,61,0,0,0,0,2,4,1,0,0.2,0.2,0.5,0.00,0.00,0.00,0.00,0.59,0.05,0.21,0.05,0.21
284,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,7,4,303,43,0,0,0,0,1,1,1,0,0.6,0.6,0.3,0.00,0.00,0.00,0.00,0.30,0.19,0.27,0.19,0.27
285,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,4,3,298,75,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
286,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,6,3,293,49,1,1,0,0,1,3,2,0,0.2,0.2,0.2,0.31,0.61,0.31,0.61,0.31,0.07,0.12,0.07,0.12
287,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,8,3,289,36,0,0,0,0,0,5,0,0,0.1,0.1,0.2,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.04,0.10
288,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,9,2,288,32,0,1,0,0,1,11,0,0,1.1,1.1,0.4,0.00,0.31,0.00,0.31,0.31,0.35,0.46,0.35,0.46
289,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,5,3,287,57,0,2,0,0,0,4,1,0,0.4,0.4,0.1,0.00,0.63,0.00,0.63,0.00,0.12,0.15,0.12,0.15
290,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,5,3,286,57,0,0,0,0,0,5,0,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.03
291,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,9,3,281,31,1,0,0,0,2,5,0,0,2.2,2.2,0.0,0.32,0.32,0.32,0.32,0.64,0.71,0.73,0.71,0.73
292,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,6,3,275,46,0,0,0,0,0,2,0,0,0.0,0.0,0.2,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.01,0.09
293,Kevin Danso\Kevin-Danso,at AUT,MF,Southampton,20,1998,6,3,275,46,0,1,0,0,0,4,2,1,0.0,0.0,0.2,0.00,0.33,0.00,0.33,0.00,0.01,0.07,0.01,0.07
294,Aaron Mooy\Aaron-Mooy,au AUS,MF,Brighton,28,1990,6,4,274,46,0,0,0,0,0,3,2,1,0.1,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.04,0.07
295,Matt Ritchie\Matt-Ritchie,sco SCO,MF,Newcastle Utd,29,1989,3,3,270,90,0,0,0,0,1,5,1,0,0.1,0.1,0.4,0.00,0.00,0.00,0.00,0.33,0.03,0.15,0.03,0.15
296,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,3,3,270,90,1,0,0,0,1,3,0,0,0.1,0.1,0.2,0.33,0.33,0.33,0.33,0.33,0.03,0.09,0.03,0.09
297,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3,3,270,90,0,0,0,0,0,1,0,0,0.1,0.1,0.3,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.02,0.13
298,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,3,3,270,90,0,0,0,0,1,2,0,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.33,0.05,0.05,0.05,0.05
299,Chris Mepham\Chris-Mepham,wal WAL,,Bournemouth,21,1997,4,3,270,68,1,0,0,0,1,3,0,0,0.4,0.4,0.0,0.33,0.33,0.33,0.33,0.33,0.13,0.13,0.13,0.13
300,James Milner\James-Milner,eng ENG,MF,Liverpool,33,1986,9,2,268,30,1,2,1,1,2,4,2,0,1.1,0.3,0.4,0.34,1.01,0.00,0.67,0.67,0.37,0.49,0.11,0.23
301,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,10,2,267,27,0,0,0,0,5,5,1,0,0.6,0.6,0.9,0.00,0.00,0.00,0.00,1.69,0.19,0.48,0.19,0.48
302,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,9,2,265,29,0,0,0,0,3,3,1,0,0.4,0.4,0.0,0.00,0.00,0.00,0.00,1.02,0.13,0.13,0.13,0.13
303,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MF,Liverpool,25,1993,8,2,262,33,0,0,0,0,1,2,0,0,0.5,0.5,0.3,0.00,0.00,0.00,0.00,0.34,0.18,0.27,0.18,0.27
304,Onel Hernández\Onel-Hernandez,cu CUB,FW,Norwich City,26,1993,5,2,254,51,1,0,0,0,2,3,0,0,0.7,0.7,0.2,0.35,0.35,0.35,0.35,0.71,0.23,0.30,0.23,0.30
305,Luke Freeman\Luke-Freeman,eng ENG,MFFW,Sheffield Utd,27,1992,6,2,254,42,0,0,0,0,0,4,1,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.01,0.05
306,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,3,3,251,84,0,0,0,0,0,2,0,0,0.0,0.0,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08
307,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,MFDF,Aston Villa,31,1987,6,2,251,42,0,0,0,0,0,3,0,0,0.0,0.0,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.25
308,Divock Origi\Divock-Origi,be BEL,FWMF,Liverpool,24,1995,9,3,250,28,1,0,0,0,1,3,0,0,0.4,0.4,0.1,0.36,0.36,0.36,0.36,0.36,0.13,0.17,0.13,0.17
309,Jota\Jota,es ESP,MF,Aston Villa,28,1991,5,3,248,50,0,1,0,0,1,5,0,0,0.1,0.1,0.8,0.00,0.36,0.00,0.36,0.36,0.02,0.30,0.02,0.30
310,Pedro\Pedro,es ESP,MFFW,Chelsea,32,1987,3,3,243,81,0,0,0,0,4,2,0,0,0.9,0.9,0.4,0.00,0.00,0.00,0.00,1.48,0.34,0.48,0.34,0.48
311,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4,2,242,61,0,0,0,0,0,1,1,0,0.1,0.1,0.9,0.00,0.00,0.00,0.00,0.00,0.03,0.37,0.03,0.37
312,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,3,3,242,81,0,0,0,0,0,1,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.01,0.05
313,Aaron Lennon\Aaron-Lennon,eng ENG,MFFW,Burnley,32,1987,8,2,239,30,0,0,0,0,0,5,2,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
314,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,DFMF,Watford,24,1994,4,3,233,58,0,0,0,0,0,1,0,0,0.1,0.1,0.2,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.02,0.11
315,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,MF,Chelsea,18,2000,6,2,232,39,0,3,0,0,2,3,1,0,0.7,0.7,1.2,0.00,1.16,0.00,1.16,0.78,0.29,0.77,0.29,0.77
316,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,21,1998,5,2,220,44,2,0,0,0,3,6,2,0,0.5,0.5,0.2,0.82,0.82,0.82,0.82,1.23,0.21,0.29,0.21,0.29
317,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,4,2,215,54,0,0,0,0,0,5,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
318,Luke Shaw\Luke-Shaw,eng ENG,MFDF,Manchester Utd,24,1995,3,3,214,71,0,0,0,0,0,1,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.01,0.07
319,Danny Welbeck\Danny-Welbeck,eng ENG,MFFW,Watford,28,1990,5,3,210,42,0,0,0,0,2,2,0,0,0.8,0.8,0.1,0.00,0.00,0.00,0.00,0.86,0.33,0.36,0.33,0.36
320,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,3,3,208,69,0,1,0,0,0,2,0,0,0.1,0.1,0.0,0.00,0.43,0.00,0.43,0.00,0.04,0.04,0.04,0.04
321,Sam Byram\Sam-Byram,eng ENG,MFDF,Norwich City,25,1993,4,2,204,51,0,0,0,0,0,2,1,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03
322,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,5,2,199,40,0,0,0,0,0,2,0,0,0.0,0.0,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07
323,Demarai Gray\Demarai-Gray,eng ENG,MF,Leicester City,23,1996,8,1,193,24,0,1,0,0,2,1,1,0,0.2,0.2,0.7,0.00,0.47,0.00,0.47,0.93,0.07,0.41,0.07,0.41
324,Eric Dier\Eric-Dier,eng ENG,MFDF,Tottenham,25,1994,3,2,192,64,0,0,0,0,1,2,2,0,0.4,0.4,0.0,0.00,0.00,0.00,0.00,0.47,0.20,0.22,0.20,0.22
325,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,3,2,191,64,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04
326,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,4,2,189,47,0,0,0,0,0,4,1,0,0.0,0.0,0.3,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.02,0.15
327,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,3,2,187,62,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.07
328,Christian Fuchs\Christian-Fuchs,at AUT,MFDF,Leicester City,33,1986,3,2,184,61,0,0,0,0,0,2,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.02,0.05
329,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,6,1,183,31,0,1,0,0,1,5,1,0,0.1,0.1,0.7,0.00,0.49,0.00,0.49,0.49,0.05,0.37,0.05,0.37
330,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,3,2,180,60,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
331,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,2,2,180,90,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
332,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,2,2,180,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
333,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,2,2,180,90,0,0,0,0,2,3,0,0,0.7,0.7,0.2,0.00,0.00,0.00,0.00,1.00,0.33,0.43,0.33,0.43
334,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,3,1,180,60,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02
335,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,7,0,177,25,1,0,0,0,2,8,0,1,0.4,0.4,1.2,0.51,0.51,0.51,0.51,1.02,0.19,0.81,0.19,0.81
336,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,6,2,175,29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
337,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,4,2,171,43,0,0,0,0,1,2,1,0,0.3,0.3,0.0,0.00,0.00,0.00,0.00,0.53,0.15,0.15,0.15,0.15
338,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,3,1,170,57,0,0,0,0,0,2,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08
339,Ismaila Sarr\Ismaila-Sarr,sn SEN,MF,Watford,21,1998,5,1,167,33,0,0,0,0,0,3,0,0,0.3,0.3,0.3,0.00,0.00,0.00,0.00,0.00,0.16,0.34,0.16,0.34
340,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,3,2,165,55,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.02,0.04
341,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,2,1,162,81,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
342,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,2,2,162,81,0,0,0,0,0,1,0,0,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.02,0.07
343,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,9,1,160,18,0,0,0,0,2,4,2,0,0.1,0.1,0.2,0.00,0.00,0.00,0.00,1.13,0.05,0.14,0.05,0.14
344,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,3,2,160,53,0,0,0,0,1,1,0,0,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.56,0.04,0.04,0.04,0.04
345,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,2,1,158,79,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
346,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MF,Tottenham,23,1996,6,1,153,26,0,0,0,0,0,3,0,0,0.1,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0.08,0.14,0.08,0.14
