,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-358,1993,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-011,1990,21,19,1546,17.2,7,5,7,0,0,3,0,0.41,0.29,0.70,0.41,0.70,9.5,9.5,2.0,11.5,0.55,0.11,0.67,0.55,0.67,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-040,1993,30,30,2700,30.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-009,1992,25,24,2057,22.9,4,4,4,0,0,3,0,0.18,0.18,0.35,0.18,0.35,2.3,2.3,2.1,4.4,0.10,0.09,0.19,0.10,0.19,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-187,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-294,1989,25,22,2009,22.3,9,1,7,2,2,2,0,0.40,0.04,0.45,0.31,0.36,9.0,7.4,1.9,9.4,0.40,0.09,0.49,0.33,0.42,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-105,1992,14,14,1155,12.8,2,1,2,0,0,0,0,0.16,0.08,0.23,0.16,0.23,1.0,1.0,1.5,2.6,0.08,0.12,0.20,0.08,0.20,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-277,1989,5,0,138,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.13,0.00,0.13,0.13,0.13,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-209,1991,26,19,1746,19.4,1,3,1,0,0,2,0,0.05,0.15,0.21,0.05,0.21,1.8,1.8,0.6,2.4,0.09,0.03,0.12,0.09,0.12,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-226,1991,30,30,2679,29.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,2.4,3.4,0.03,0.08,0.11,0.03,0.11,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-223,1989,20,18,1671,18.6,1,1,1,0,0,4,0,0.05,0.05,0.11,0.05,0.11,0.8,0.8,1.8,2.5,0.04,0.10,0.14,0.04,0.14,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-361,1994,8,7,638,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-228,1991,12,12,1080,12.0,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-030,1993,25,25,2157,24.0,0,2,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,1.1,1.1,1.3,2.3,0.04,0.05,0.10,0.04,0.10,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-266,1989,13,6,559,6.2,5,2,5,0,0,1,0,0.81,0.32,1.13,0.81,1.13,3.0,3.0,0.9,3.9,0.49,0.14,0.63,0.49,0.63,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-215,1993,30,30,2498,27.8,14,6,13,1,1,2,0,0.50,0.22,0.72,0.47,0.68,14.5,13.7,3.4,17.1,0.52,0.12,0.65,0.49,0.62,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-284,1985,4,3,274,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-124,1993,2,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.06,0.16,0.22,0.06,0.22,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-124,1993,18,14,1167,13.0,3,1,3,0,0,0,0,0.23,0.08,0.31,0.23,0.31,3.0,3.0,3.0,6.0,0.23,0.23,0.46,0.23,0.46,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-160,1989,18,15,1293,14.4,3,0,2,1,1,4,0,0.21,0.00,0.21,0.14,0.14,4.9,4.1,0.7,4.8,0.34,0.05,0.39,0.29,0.33,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-120,1997,25,22,1945,21.6,9,4,9,0,0,0,0,0.42,0.19,0.60,0.42,0.60,6.2,6.2,1.5,7.7,0.29,0.07,0.35,0.29,0.35,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-321,1991,22,20,1870,20.8,3,1,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,1.8,1.8,0.1,1.9,0.09,0.01,0.09,0.09,0.09,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-262,1988,26,26,2126,23.6,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-188,1993,17,7,709,7.9,2,1,2,0,0,0,0,0.25,0.13,0.38,0.25,0.38,1.4,1.4,1.4,2.8,0.18,0.18,0.36,0.18,0.36,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-361,1996,30,30,2605,28.9,1,1,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,0.9,0.9,0.3,1.3,0.03,0.01,0.04,0.03,0.04,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-355,1997,14,2,331,3.7,1,0,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,0.3,0.3,0.1,0.4,0.07,0.03,0.10,0.07,0.10,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,26-020,1995,22,22,1910,21.2,1,2,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,0.6,0.6,2.3,2.9,0.03,0.11,0.14,0.03,0.14,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,25-241,1995,22,11,1077,12.0,0,4,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,1.7,1.7,2.8,4.5,0.14,0.23,0.38,0.14,0.38,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-124,1999,6,2,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-126,1990,23,14,1235,13.7,5,1,5,0,0,2,1,0.36,0.07,0.44,0.36,0.44,5.0,5.0,0.9,5.8,0.36,0.07,0.43,0.36,0.43,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-163,1990,16,12,972,10.8,2,0,2,0,0,1,0,0.19,0.00,0.19,0.19,0.19,1.5,1.5,0.3,1.8,0.13,0.03,0.16,0.13,0.16,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-053,1998,13,12,1016,11.3,1,1,0,1,1,4,0,0.09,0.09,0.18,0.00,0.09,1.2,0.5,1.2,1.7,0.11,0.11,0.22,0.04,0.15,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-182,1997,17,11,1046,11.6,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,1.7,1.7,1.1,2.8,0.15,0.10,0.24,0.15,0.24,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-212,1992,9,3,395,4.4,1,0,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,0.2,0.2,0.6,0.8,0.05,0.14,0.18,0.05,0.18,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-329,1995,3,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-246,1989,28,28,2508,27.9,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,0.9,1.5,0.02,0.03,0.05,0.02,0.05,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-221,1996,28,27,2392,26.6,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.4,1.1,0.03,0.01,0.04,0.03,0.04,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-255,2000,12,9,878,9.8,2,0,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,1.5,1.5,0.2,1.6,0.15,0.02,0.17,0.15,0.17,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-064,1991,17,17,1530,17.0,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.4,1.4,0.06,0.02,0.08,0.06,0.08,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-109,1996,30,25,2073,23.0,7,3,7,0,0,0,0,0.30,0.13,0.43,0.30,0.43,5.2,5.2,2.5,7.6,0.22,0.11,0.33,0.22,0.33,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-084,1992,19,12,1052,11.7,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,1.7,0.07,0.08,0.15,0.07,0.15,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,21-007,2000,21,9,882,9.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,1.3,2.7,0.14,0.14,0.28,0.14,0.28,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-110,1995,25,24,2141,23.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.8,2.0,0.05,0.03,0.08,0.05,0.08,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-203,1993,12,5,468,5.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.03,0.03,0.06,0.03,0.06,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-158,1996,10,9,745,8.3,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.4,0.8,0.05,0.04,0.09,0.05,0.09,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,24-001,1997,20,12,1055,11.7,1,1,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,2.3,2.3,1.7,4.1,0.20,0.15,0.35,0.20,0.35,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-334,1992,20,17,1517,16.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.8,1.7,0.06,0.05,0.10,0.06,0.10,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-040,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,23-008,1998,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-192,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-110,1985,15,15,1350,15.0,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.4,0.6,0.02,0.02,0.04,0.02,0.04,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-078,1991,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,24-023,1997,26,25,2241,24.9,14,0,14,0,0,3,0,0.56,0.00,0.56,0.56,0.56,12.9,12.9,1.2,14.1,0.52,0.05,0.57,0.52,0.57,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-316,1994,23,22,1947,21.6,1,3,1,0,0,4,0,0.05,0.14,0.18,0.05,0.18,1.7,1.7,4.4,6.0,0.08,0.20,0.28,0.08,0.28,Matches
81,Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,21-058,2000,10,0,253,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.7,0.13,0.13,0.26,0.13,0.26,Matches
82,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,32-092,1989,16,4,385,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,Matches
83,Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,23-244,1997,23,23,2002,22.2,0,2,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,1.8,2.1,0.01,0.08,0.09,0.01,0.09,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-188,1986,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-124,1995,19,19,1625,18.1,1,2,1,0,0,1,0,0.06,0.11,0.17,0.06,0.17,0.6,0.6,1.2,1.8,0.03,0.07,0.10,0.03,0.10,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-036,1994,7,7,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-172,1993,29,21,1945,21.6,3,0,2,1,2,2,0,0.14,0.00,0.14,0.09,0.09,4.9,4.2,2.4,6.6,0.23,0.11,0.34,0.19,0.30,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-053,1987,19,10,1008,11.2,6,2,6,0,0,2,0,0.54,0.18,0.71,0.54,0.71,5.0,5.0,1.7,6.7,0.44,0.15,0.59,0.44,0.59,Matches
89,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-244,1996,20,12,1180,13.1,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,2.2,2.5,0.02,0.17,0.19,0.02,0.19,Matches
90,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-078,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.03,0.17,0.19,0.03,0.19,Matches
91,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-108,1996,21,21,1756,19.5,2,4,2,0,0,3,0,0.10,0.21,0.31,0.10,0.31,1.6,1.6,1.5,3.0,0.08,0.08,0.16,0.08,0.16,Matches
92,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-189,1997,9,4,305,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.11,0.00,0.11,0.11,0.11,Matches
93,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-363,1996,13,11,1057,11.7,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.03,0.04,0.01,0.04,Matches
94,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-194,1989,18,17,1565,17.4,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.1,0.4,0.02,0.00,0.02,0.02,0.02,Matches
95,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,30-003,1991,13,13,1145,12.7,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
96,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,28-042,1993,29,29,2583,28.7,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.2,1.2,0.1,1.3,0.04,0.00,0.05,0.04,0.05,Matches
97,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,32-179,1988,17,11,978,10.9,0,2,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,0.5,0.5,1.2,1.7,0.05,0.11,0.16,0.05,0.16,Matches
98,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,21-070,2000,15,9,722,8.0,2,1,2,0,0,0,0,0.25,0.12,0.37,0.25,0.37,3.3,3.3,0.2,3.5,0.41,0.02,0.43,0.41,0.43,Matches
99,Liam Cooper\Liam-Cooper,sco SCO,DF,Leeds United,29-221,1991,22,22,1961,21.8,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,1.3,1.3,0.0,1.3,0.06,0.00,0.06,0.06,0.06,Matches
100,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31-287,1989,9,8,735,8.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.4,0.03,0.02,0.05,0.03,0.05,Matches
101,Hélder Costa\Helder-Costa,pt POR,MF,Leeds United,27-086,1994,19,10,929,10.3,3,3,3,0,0,0,0,0.29,0.29,0.58,0.29,0.58,1.6,1.6,0.9,2.5,0.15,0.09,0.24,0.15,0.24,Matches
102,Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,28-229,1992,26,26,2334,25.9,0,4,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,1.0,1.0,3.6,4.6,0.04,0.14,0.18,0.04,0.18,Matches
103,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,31-114,1989,30,30,2700,30.0,0,7,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,0.8,0.8,4.4,5.2,0.03,0.15,0.17,0.03,0.17,Matches
104,Patrick Cutrone\Patrick-Cutrone,it ITA,FWMF,Wolves,23-095,1998,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.61,0.00,0.61,0.61,0.61,Matches
105,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29-354,1991,30,30,2689,29.9,5,2,5,0,0,5,0,0.17,0.07,0.23,0.17,0.23,3.2,3.2,1.6,4.8,0.11,0.05,0.16,0.11,0.16,Matches
