,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
38,George Baldock\George-Baldock,eng ENG,MFDF,Sheffield Utd,27-294,1993,15,15,1350,0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.2,0.07,0.08,0.15,0.07,0.15,Matches
39,Gareth Bale\Gareth-Bale,wal WAL,MF,Tottenham,31-165,1989,4,1,162,1,0,0,0,0,0,0.56,0.00,0.56,0.56,0.56,0.6,0.6,0.2,0.36,0.12,0.48,0.36,0.48,Matches
40,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-114,1993,15,15,1275,10,1,1,1,1,0,0.71,0.07,0.78,0.64,0.71,10.4,9.6,0.8,0.73,0.06,0.79,0.68,0.74,Matches
41,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-183,1985,3,3,270,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.00,0.04,0.04,0.04,Matches
42,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-023,1993,6,6,454,2,1,0,0,0,0,0.40,0.20,0.59,0.40,0.59,1.5,1.5,1.7,0.30,0.34,0.64,0.30,0.64,Matches
43,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-023,1993,2,0,42,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.16,0.22,0.06,0.22,Matches
44,Ashley Barnes\Ashley-Barnes,eng ENG,FWMF,Burnley,31-059,1989,11,8,706,1,0,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.4,0.22,0.05,0.26,0.22,0.26,Matches
45,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,23-019,1997,14,11,1010,4,1,0,0,0,0,0.36,0.09,0.45,0.36,0.45,2.8,2.8,0.3,0.25,0.03,0.28,0.25,0.28,Matches
46,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-220,1991,8,8,720,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.1,1.1,0.0,0.14,0.00,0.14,0.14,0.14,Matches
47,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,32-161,1988,15,15,1246,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.04,0.03,0.07,0.04,0.07,Matches
