,name,team,opp_team,was_home,gameweek,xP
309,Tyrone Mings,Aston Villa,Nottingham Forest,0,10,2.9236267
310,Ollie Watkins,Aston Villa,Bournemouth,0,1,4.198638
311,Ollie Watkins,Aston Villa,Everton,1,2,4.463537
312,Ollie Watkins,Aston Villa,Crystal Palace,0,3,3.8911476
313,Ollie Watkins,Aston Villa,West Ham,1,4,4.1975217
314,Ollie Watkins,Aston Villa,Arsenal,0,5,3.6150305
315,Ollie Watkins,Aston Villa,Manchester City,1,6,3.041704
316,Ollie Watkins,Aston Villa,Leicester City,0,7,4.4132667
317,Ollie Watkins,Aston Villa,Southampton,1,8,4.556011
318,Ollie Watkins,Aston Villa,Leeds United,0,9,4.206088
319,Ollie Watkins,Aston Villa,Nottingham Forest,0,10,4.3741994
320,Marvelous Nakamba,Aston Villa,Bournemouth,0,1,2.1482809
321,Marvelous Nakamba,Aston Villa,Everton,1,2,2.4495363
322,Marvelous Nakamba,Aston Villa,Crystal Palace,0,3,2.236424
323,Marvelous Nakamba,Aston Villa,West Ham,1,4,2.3248944
324,Marvelous Nakamba,Aston Villa,Arsenal,0,5,2.0828664
325,Marvelous Nakamba,Aston Villa,Manchester City,1,6,1.7654046
326,Marvelous Nakamba,Aston Villa,Leicester City,0,7,2.2955058
327,Marvelous Nakamba,Aston Villa,Southampton,1,8,2.7326171
328,Marvelous Nakamba,Aston Villa,Leeds United,0,9,2.3344173
329,Marvelous Nakamba,Aston Villa,Nottingham Forest,0,10,2.4707055
330,Emiliano Buendia Stati,Aston Villa,Bournemouth,0,1,2.66856
331,Emiliano Buendia Stati,Aston Villa,Everton,1,2,3.014159
332,Emiliano Buendia Stati,Aston Villa,Crystal Palace,0,3,2.7472482
333,Emiliano Buendia Stati,Aston Villa,West Ham,1,4,2.5970373
334,Emiliano Buendia Stati,Aston Villa,Arsenal,0,5,2.300278
335,Emiliano Buendia Stati,Aston Villa,Manchester City,1,6,2.0466251
336,Emiliano Buendia Stati,Aston Villa,Leicester City,0,7,2.546204
337,Emiliano Buendia Stati,Aston Villa,Southampton,1,8,2.9581704
338,Emiliano Buendia Stati,Aston Villa,Leeds United,0,9,2.5000355
339,Emiliano Buendia Stati,Aston Villa,Nottingham Forest,0,10,2.7576106
340,Matty Cash,Aston Villa,Bournemouth,0,1,3.214601
341,Matty Cash,Aston Villa,Everton,1,2,3.568777
342,Matty Cash,Aston Villa,Crystal Palace,0,3,3.197481
343,Matty Cash,Aston Villa,West Ham,1,4,2.9778106
344,Matty Cash,Aston Villa,Arsenal,0,5,2.6443748
345,Matty Cash,Aston Villa,Manchester City,1,6,2.4558783
346,Matty Cash,Aston Villa,Leicester City,0,7,3.112945
347,Matty Cash,Aston Villa,Southampton,1,8,3.440911
348,Matty Cash,Aston Villa,Leeds United,0,9,2.8061244
349,Matty Cash,Aston Villa,Nottingham Forest,0,10,3.2491956
350,Ezri Konsa Ngoyo,Aston Villa,Bournemouth,0,1,2.625142
351,Ezri Konsa Ngoyo,Aston Villa,Everton,1,2,2.9924312
352,Ezri Konsa Ngoyo,Aston Villa,Crystal Palace,0,3,2.7242682
353,Ezri Konsa Ngoyo,Aston Villa,West Ham,1,4,2.56115
