id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,ppg next 5,ppg next 10,value,valuePoints_metric,games_played
28,0,0,18,,,0,85242,0,0,-2,2,35.9,0,3,0.3,0.3,1,Conor,0.8,2,0,5.8,False,22.4,100,,,58,0,0,0,85242.jpg,1.5,0,0,Hourihane,0.1,False,,a,2,7,0.0,3,1736,113,11114,1019,0.1,0.5,Hourihane,0,1.58,1.392,1.6200000000000003,0.2724137931034483,0.6560592908445458,1.1111111111111112
29,1,1,68,,,1,114283,0,0,0,0,109.4,0,3,2.5,2.5,1,Jack,3.0,6,0,23.7,False,85.8,360,,,60,0,0,0,114283.jpg,3.0,0,0,Grealish,4.7,False,,a,2,7,42.0,12,81019,6751,154034,37612,0.5,2.0,Grealish,1,2.85,2.848,2.5300000000000002,0.47500000000000003,1.1635076278220098,4.0
30,0,0,23,100.0,100.0,0,193488,0,0,0,0,16.9,0,3,2.0,2.0,0,Anwar,2.5,5,1,18.2,False,38.8,177,,2019-08-04T16:30:15.264156Z,55,0,0,0,193488.jpg,3.3,0,0,El Ghazi,0.4,False,,a,2,7,125.0,10,20018,2315,18239,5149,0.5,1.8,El Ghazi,0,3.06,3.12,2.7,0.5563636363636364,1.304788384096336,1.9666666666666666
31,1,0,58,,,1,122806,0,0,1,-1,91.2,0,3,3.7,3.7,2,John,4.2,6,1,27.9,False,117.6,360,,,56,0,0,0,122806.jpg,4.2,0,0,McGinn,6.8,False,,a,2,7,71.0,17,418880,40578,173513,45633,0.8,3.0,McGinn,0,3.8200000000000003,3.3259999999999996,3.247,0.6821428571428573,1.614244626531467,4.0
32,0,0,0,0.0,0.0,0,174597,0,0,-1,1,0.0,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,False,0.0,0,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,49,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,,n,2,7,0.0,0,104,15,941,103,0.0,0.0,Green,0,2.0,2.0,2.0,0.4081632653061224,0.9035079029052512,0.0
33,0,0,0,0.0,0.0,0,27770,0,0,0,0,0.0,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,False,0.0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.1,False,,u,2,7,0.0,0,293,45,5189,526,0.0,0.0,Bjarnason,0,2.0,2.0,2.0,0.4444444444444444,0.9428090415820634,0.0
34,0,0,9,,,0,221239,0,0,0,0,11.6,0,3,0.0,0.0,1,Keinan,0.5,1,0,1.9,False,8.0,34,,,45,0,0,0,221239.jpg,1.0,0,0,Davis,0.3,False,,a,2,7,0.0,2,7293,1211,10768,1766,0.1,0.4,Davis,0,1.12,1.296,1.56,0.2488888888888889,0.5279730632859555,0.37777777777777777
35,0,0,2,,,0,40564,0,0,-1,1,0.7,0,3,-0.3,-0.3,1,Henri,0.2,0,0,0.5,False,2.0,5,,,44,0,0,0,40564.jpg,1.0,0,0,Lansbury,0.7,False,,a,2,7,2.0,1,36877,34018,14110,9389,0.0,0.2,Lansbury,0,1.24,1.392,1.6200000000000003,0.2818181818181818,0.5911468053322672,0.05555555555555555
36,1,0,29,,,1,89274,0,0,-1,1,52.2,0,3,1.7,1.7,1,José Ignacio,2.2,3,0,10.5,False,40.0,180,,,59,0,0,0,89274.jpg,2.2,0,0,Peleteiro Romallo,0.3,False,,a,2,7,13.0,9,8508,1017,11606,2389,0.4,1.5,Jota,0,2.22,2.2880000000000003,2.047,0.376271186440678,0.9139595362478063,2.0
94,0,0,61,,,1,21205,0,0,0,0,0.0,0,1,2.5,2.5,3,Tom,3.0,6,0,7.1,False,71.8,360,,,45,0,0,0,21205.jpg,3.0,0,10,Heaton,6.8,False,,a,2,7,0.0,12,137884,19609,104188,21812,0.7,2.7,Heaton,0,3.02,3.1060000000000003,2.9830000000000005,0.6711111111111111,1.4236416527889157,4.0
309,0,0,0,25.0,0.0,0,169359,0,0,-1,1,0.0,0,2,0.0,0.0,0,Matt,0.0,0,0,0.0,False,0.0,0,Hamstring injury - 25% chance of playing,2019-08-27T21:30:10.743130Z,44,0,0,0,169359.jpg,0.0,0,0,Targett,0.6,False,,d,2,7,0.0,0,1624,41,43023,7250,0.0,0.0,Targett,0,2.3000000000000003,2.3000000000000003,2.3000000000000003,0.5227272727272727,1.0964819776324313,0.0
428,0,3,44,,,1,213345,0,0,0,0,37.8,0,4,3.3,3.3,2,Wesley,3.8,4,1,22.5,False,58.6,337,,,60,0,0,0,213345.jpg,3.8,0,0,Moraes,2.0,False,,a,2,7,128.0,15,128218,24345,72404,22679,0.6,2.5,Wesley,0,3.44,3.4160000000000004,2.8850000000000002,0.5733333333333334,1.4043741191956889,3.7444444444444445
429,0,0,0,100.0,100.0,0,79852,-1,1,-1,1,0.0,0,1,-0.5,-0.5,0,Jed,0.0,0,0,0.0,False,0.0,0,,2019-08-05T15:00:10.959066Z,44,0,0,0,79852.jpg,0.0,0,0,Steer,0.1,False,,a,2,7,0.0,0,469,114,2776,390,0.0,0.0,Steer,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
445,1,3,88,,,1,149484,0,0,0,0,25.2,0,2,3.5,3.5,2,Tyrone,4.0,6,0,18.0,False,149.2,360,,,45,0,0,0,149484.jpg,4.0,0,0,Mings,5.1,False,,a,2,7,6.0,16,263627,78746,73204,23807,0.9,3.6,Mings,0,3.63,3.2479999999999998,3.13,0.8066666666666666,1.711198410471445,4.0
