id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
428,1,7,180,0.0,0.0,6,213345,0,0,-6,6,169.8,196,28,1,4,0.0,0.0,0,Wesley,0.0,31,5,108.3,101,24,False,296.2,216,27,1782,Knee injury - Unknown return date,2020-01-01T15:00:18.798443Z,54,0,1,0,213345.jpg,3.2,0,0,Moraes,0.8,False,,i,2,7,632.0,44,23,67,403802,22,438610,266,0.0,12.4,Wesley,3,20.9375,67.72517928286852,3.2346354284355114,,,0.5990065608213909,1.3919654605981364,Aston Villa
429,0,0,3,100.0,100.0,0,79852,0,0,-2,2,0.0,554,50,0,1,-1.5,-1.0,0,Jed,0.0,0,0,0.0,569,66,False,0.0,565,66,7,,2019-11-10T16:00:17.790777Z,43,0,0,0,79852.jpg,1.0,0,0,Steer,0.1,False,,a,2,7,0.0,528,44,1,1587,7,7174,35,0.0,0.2,Steer,0,1.0,1.6115059223907695,1.6115059223907695,,,0.3747688191606441,0.7771371639580579,Aston Villa
445,1,6,440,100.0,100.0,4,149484,0,0,-1,1,76.0,284,85,0,2,1.3,1.8,1,Tyrone,2.8,46,2,84.6,151,41,False,660.6,36,11,2362,,2020-02-16T16:00:24.633178Z,44,0,0,0,149484.jpg,2.5,0,0,Mings,3.0,False,,a,2,7,108.0,255,71,67,591844,1644,537731,6464,0.6,15.2,Mings,6,26.8,59.99353800294115,2.2385648508560134,2.3847431469196168,2.1993399618285974,0.5087647388309121,1.0671939194456739,Aston Villa
452,2,2,249,100.0,100.0,3,199798,0,0,-2,2,116.8,241,65,0,2,1.0,1.5,1,Ezri,2.5,32,0,53.3,249,80,False,299.8,213,83,1498,,2020-02-01T17:30:19.744514Z,43,0,0,0,199798.jpg,2.1,0,0,Konsa Ngoyo,0.1,False,,a,2,7,115.0,247,65,40,8579,159,9007,154,0.6,9.3,Konsa,2,19.047619047619047,39.55809042079935,2.076799747091965,2.8831609517827257,2.3480346220208177,0.4829766853702244,1.0015217711204274,Aston Villa
455,0,4,252,0.0,0.0,3,108156,0,0,-2,2,31.9,358,125,1,2,0.0,0.0,0,Bjorn,0.0,32,1,44.5,294,100,False,329.6,194,75,1446,Achilles injury - Expected back 05 Jul,2020-06-18T17:30:12.858071Z,43,0,0,0,108156.jpg,2.5,0,0,Engels,0.4,False,,i,2,7,81.0,288,86,42,103795,21,97708,671,0.0,9.8,Engels,1,16.8,39.97329949616493,2.379363065247912,0.25451846898895525,1.7327494781595296,0.5533402477320726,1.1474307595531956,Aston Villa
458,2,2,302,75.0,75.0,4,203368,0,0,-1,1,225.6,160,36,1,2,-1.1,-0.8,0,Frédéric,0.0,36,0,71.4,191,51,False,431.8,131,50,1898,Knee injury - 75% chance of playing,2020-06-18T17:30:12.878185Z,44,0,0,0,203368.jpg,2.1,0,0,Guilbert,0.4,False,,d,2,7,55.0,320,111,48,104679,10,116041,878,0.0,10.9,Guilbert,7,22.857142857142854,47.38763679181178,2.0732091096417653,0.41305686839398703,0.9069754362984168,0.47118388855494664,0.9883636628632934,Aston Villa
465,2,2,179,100.0,100.0,3,148508,0,0,-3,3,264.4,132,81,0,3,-0.3,0.2,1,Mahmoud Ahmed,1.2,24,3,115.3,92,54,False,287.2,222,87,1433,,2019-08-31T16:30:09.941826Z,52,0,0,0,148508.jpg,2.2,1,0,Ibrahim Hassan,1.0,False,,a,2,7,608.0,49,25,63,160410,170,298765,1269,0.2,12.1,Trézéguet,2,28.63636363636364,61.88818505558008,2.161174716226606,2.336201144051364,2.4092160206234032,0.4156105223512704,0.947737807995069,Aston Villa
470,2,5,336,,,6,230046,0,0,-1,1,230.5,155,97,0,3,0.3,0.8,2,Douglas Luiz,1.8,44,3,100.7,116,67,False,436.6,127,46,2071,,,44,0,0,0,230046.jpg,2.6,0,0,Soares de Paulo,3.9,False,,a,2,7,339.0,95,50,78,893510,2030,698902,14813,0.4,17.7,Douglas Luiz,6,30.0,71.09665298366781,2.369888432788928,2.0418575323771515,2.210665476251993,0.5386110074520291,1.129799980675055,Aston Villa
474,0,0,0,0.0,0.0,0,88175,0,0,-3,3,0.0,537,42,0,1,0.0,0.0,0,Lovre,0.0,0,0,0.0,555,61,False,0.0,551,61,0,Joined Toulouse on loan until the end of the season on 20/1. - Expected back 01 Aug,2020-01-20T17:00:23.372293Z,42,0,0,0,88175.jpg,0.0,0,0,Kalinic,0.1,False,,n,2,7,0.0,505,33,0,1913,14,5655,34,0.0,0.0,Kalinic,0,,,,,,,,Aston Villa
491,0,0,267,100.0,100.0,1,184704,0,0,-1,1,161.4,205,122,0,3,-0.3,0.2,2,Marvelous,1.2,36,0,47.6,282,130,False,291.0,221,86,1754,,2020-01-18T19:30:18.468247Z,44,0,0,0,184704.jpg,1.6,0,0,Nakamba,0.6,False,,a,2,7,24.0,371,177,40,128164,112,112207,593,0.3,9.1,Nakamba,4,25.0,45.32191201494231,1.8128764805976925,2.01792866958508,1.8941726619192496,0.412017381954021,0.8642549515865563,Aston Villa
