id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 4,value,valuePoints metric
489,0,0,15,100.0,100.0,1,200641,0,0,-2,2,50.3,0,3,0.5,0.5,0,Reiss,0.0,2,0,14.5,False,27.2,150,,2019-10-07T15:00:21.389844Z,53,0,0,0,200641.jpg,1.2,0,0,Nelson,0.1,False,,a,1,3,67.0,5,7569,34,13827,88,0.0,0.9,Nelson,1,4.166666666666667,6.635645907682124,1.5925550178437096,,0.30048207883843575,0.691761694824352
490,0,0,76,100.0,100.0,1,200089,0,0,-1,1,95.8,0,3,1.7,1.7,1,Joseph,1.2,9,0,28.9,False,74.0,482,,2019-09-07T11:30:17.190466Z,49,0,0,0,200089.jpg,1.4,0,0,Willock,0.2,False,,a,1,3,118.0,17,23670,150,27199,345,0.2,3.5,Willock,0,12.142857142857144,23.93531093095933,1.9711432531378272,2.6485388686126456,0.4022741332934341,0.8904717534841965
504,1,0,19,,,0,444145,0,0,0,0,5.5,0,4,2.0,2.0,1,Gabriel Teodoro,1.5,2,0,5.4,False,10.0,96,,,45,0,0,0,444145.jpg,1.3,0,0,Martinelli Silva,1.5,False,,a,1,3,39.0,9,160923,2410,147544,5365,0.3,2.0,Martinelli,1,6.9230769230769225,7.0368,1.0164266666666668,1.3220655651340991,0.22587259259259262,0.47914812571922577
515,0,0,47,100.0,100.0,0,192895,0,0,-1,1,73.3,0,2,0.7,0.7,1,Kieran,0.2,6,0,15.8,False,53.2,268,,2019-08-09T12:00:11.271398Z,54,0,0,0,192895.jpg,1.0,0,0,Tierney,0.8,False,,a,1,3,31.0,4,71391,434,76613,5057,0.0,0.7,Tierney,1,4.0,9.608880285499351,2.4022200713748383,2.053446486325381,0.44485556877311816,1.033750925595549
541,1,0,44,100.0,100.0,1,223340,0,0,0,0,96.2,0,3,0.7,0.7,0,Bukayo,0.2,4,0,26.0,False,68.4,354,,2019-11-22T10:00:21.980433Z,45,0,0,0,223340.jpg,1.9,0,0,Saka,0.7,False,,a,1,3,94.0,13,115445,707,74001,4609,0.0,2.9,Saka,1,6.842105263157895,17.00901854314117,2.485933479382171,1.2537002703246591,0.5524296620849269,1.1718802805665345
22,1,5,87,,,0,37339,0,0,-3,3,123.2,0,2,0.5,0.5,6,Ahmed,1.5,11,0,24.3,False,111.2,341,,,42,0,0,0,37339.jpg,1.9,0,0,El Mohamady,0.9,False,,a,2,7,8.0,13,45165,2893,118711,1153,0.4,3.1,El Mohamady,0,6.842105263157895,19.154501350028006,2.799504043465632,5.573336815543746,0.6665485817775314,1.366018100118912
23,0,0,0,100.0,100.0,0,43252,0,0,-2,2,0.0,0,2,-1.0,-1.0,0,James,0.0,0,0,0.0,False,0.0,0,,2019-08-08T17:00:13.859858Z,43,0,0,0,43252.jpg,0.0,0,0,Chester,0.1,False,,a,2,7,0.0,0,873,79,6385,98,0.0,0.0,Chester,0,,,,,,
24,0,0,98,,,2,47390,0,0,-1,1,28.5,0,2,-0.8,-0.8,0,Neil,0.2,12,0,15.6,False,99.8,613,,,44,0,0,0,47390.jpg,2.1,0,0,Taylor,0.3,False,,a,2,7,27.0,17,17802,113,21403,569,0.0,3.9,Taylor,1,8.095238095238095,16.20848914307343,2.0022251294384823,2.330356270984563,0.4550511657814732,0.9545233780835032
25,0,0,0,100.0,100.0,0,123354,0,0,-1,1,0.0,0,2,-1.0,-1.0,0,Kortney,0.0,0,0,0.0,False,0.0,0,,2019-08-15T13:00:13.496241Z,44,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,,a,2,7,0.0,0,733,14,3669,48,0.0,0.0,Hause,0,,,,,,
26,0,0,7,100.0,100.0,0,54764,0,0,-1,1,0.0,0,4,-1.0,-1.0,0,Jonathan,0.0,4,0,0.4,False,2.0,20,,2019-10-03T12:30:10.314025Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.1,False,,a,2,7,2.0,2,3092,60,25559,156,0.0,0.4,Kodjia,0,2.0,2.0,1.0,,0.18518518518518517,0.4303314829119352
