id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,value,valuePoints metric,team_name
24,0,0,98,,,2,47390,0,0,-1,1,28.5,0,2,0.0,-0.5,0,Neil,0.0,12,0,15.6,False,99.8,613,,,44,0,0,0,47390.jpg,2.1,0,0,Taylor,0.2,False,,a,2,7,27.0,17,18220,135,22544,395,0.0,3.9,Taylor,1,8.095238095238095,15.431031150101425,1.9061862008948816,,0.4332241365670185,0.9087386153447262,Aston Villa
25,0,0,6,100.0,100.0,0,123354,0,0,-1,1,3.1,0,2,0.0,-0.5,0,Kortney,0.0,2,0,2.9,False,21.8,90,,2019-08-15T13:00:13.496241Z,44,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,,a,2,7,4.0,0,796,34,3818,50,0.0,0.0,Hause,1,,,,,,,Aston Villa
26,0,0,10,100.0,100.0,0,54764,0,0,-1,1,0.6,0,4,0.2,-0.3,1,Jonathan,0.2,5,0,0.5,False,2.2,41,,2019-10-03T12:30:10.314025Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.1,False,,a,2,7,2.0,3,3352,171,25926,106,0.0,0.6,Kodjia,0,3.0,3.0,1.0,1.0,0.18518518518518517,0.4303314829119352,Aston Villa
27,0,0,13,100.0,100.0,0,98770,0,0,-2,2,0.0,0,1,0.0,-0.5,0,ÃÂrjan,0.0,2,0,2.3,False,22.8,82,,2019-07-30T15:00:08.973693Z,43,0,0,0,98770.jpg,2.0,0,3,Nyland,0.2,False,,a,2,7,0.0,2,3826,63,9000,177,0.0,0.5,Nyland,0,1.0,2.5350097303066463,2.5350097303066463,,0.589537146582941,1.2224902465725325,Aston Villa
28,2,4,135,100.0,,2,85242,0,0,-3,3,164.1,2,3,2.5,2.9,0,Conor,3.4,11,2,47.3,False,160.6,578,,2019-12-15T13:00:22.404997Z,57,0,0,0,85242.jpg,3.6,0,0,Hourihane,0.2,False,,a,2,7,149.0,36,10917,390,20225,824,0.6,6.3,Hourihane,2,10.0,30.628090363502466,3.0628090363502465,2.7173079870473518,0.5373349186579379,1.2828695352264223,Aston Villa
29,4,7,273,100.0,100.0,3,114283,1,-1,2,-2,481.0,1,3,4.6,4.1,0,Jack,4.6,26,4,125.8,False,431.8,1343,,2019-10-26T18:30:22.524063Z,62,0,1,0,114283.jpg,4.4,0,0,Grealish,10.0,False,,a,2,7,348.0,66,715274,144999,428272,18315,0.8,10.8,Grealish,4,14.999999999999998,66.78741856412162,4.452494570941441,4.440243936547526,0.7181442856357163,1.788164850606802,Aston Villa
30,4,0,185,100.0,100.0,3,193488,0,0,0,0,283.7,0,3,3.2,2.7,2,Anwar,3.2,20,3,94.7,False,281.0,1021,,2019-12-01T18:30:17.584307Z,55,0,0,0,193488.jpg,3.7,0,0,El Ghazi,1.2,False,,a,2,7,384.0,56,207803,7458,160863,3332,0.6,10.2,El Ghazi,1,15.135135135135135,55.90549321717253,3.6937558018488974,3.7202970480006754,0.6715919639725269,1.5750227659937543,Aston Villa
31,2,4,250,,,3,122806,-1,1,2,-2,374.2,0,3,2.0,1.5,2,John,2.0,30,3,113.5,False,386.4,1530,,,57,0,0,0,122806.jpg,3.5,0,0,McGinn,8.4,False,,a,2,7,375.0,60,1272499,11336,909560,26662,0.4,10.5,McGinn,2,17.142857142857142,61.48346488190719,3.586535451444586,2.143101226797919,0.6292167458674712,1.5022343910642855,Aston Villa
32,0,0,0,0.0,0.0,0,174597,0,0,-1,1,0.0,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,False,0.0,0,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,49,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,,n,2,7,0.0,0,270,5,1279,12,0.0,0.0,Green,0,,,,,,,Aston Villa
33,0,0,0,0.0,0.0,0,27770,0,0,0,0,0.0,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,False,0.0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.0,False,,u,2,7,0.0,0,592,18,7288,57,0.0,0.0,Bjarnason,0,,,,,,,Aston Villa
34,0,0,16,0.0,0.0,0,221239,0,0,-2,2,23.3,0,3,0.0,0.0,0,Keinan,0.0,1,0,8.2,False,14.4,74,Hamstring injury - Expected back 21 Dec,2019-10-30T23:30:12.401435Z,43,0,0,0,221239.jpg,1.0,0,0,Davis,0.3,False,,i,2,7,46.0,6,15957,943,26314,796,0.0,1.4,Davis,0,6.0,10.60251459545997,1.7670857659099952,,0.41095017811860357,0.8521644267696004,Aston Villa
35,0,0,21,100.0,100.0,0,40564,0,0,-1,1,24.0,0,3,0.8,0.3,2,Henri,0.8,2,0,3.7,False,6.8,105,,2019-11-08T18:00:15.526636Z,44,0,0,0,40564.jpg,1.2,0,0,Lansbury,0.5,False,,a,2,7,5.0,7,67927,220,54737,819,0.2,1.6,Lansbury,0,5.833333333333334,8.080222523363862,1.385181004005233,1.7983005483384382,0.31481386454664384,0.6603591333263193,Aston Villa
36,1,0,35,100.0,100.0,2,89274,0,0,-2,2,54.8,0,3,0.2,-0.3,0,JosÃÂ© Ignacio,0.2,3,0,13.5,False,42.0,259,,2019-10-17T13:00:14.384046Z,58,0,0,0,89274.jpg,2.2,0,0,Peleteiro Romallo,0.1,False,,a,2,7,39.0,13,11484,264,24268,165,0.0,2.2,Jota,0,5.909090909090907,12.335638302275472,2.087569558846618,0.9536090164046199,0.3599257860080376,0.8668160787123883,Aston Villa
94,0,0,275,100.0,100.0,3,21205,0,0,0,0,0.3,0,1,2.4,1.9,1,Tom,2.4,28,0,41.4,False,414.8,1440,,2019-11-10T16:00:17.137818Z,45,1,0,0,21205.jpg,2.7,0,54,Heaton,5.3,False,,a,2,7,0.0,43,252365,5845,300578,4318,0.5,9.6,Heaton,0,15.925925925925926,39.52052533451325,2.481521358213622,1.4582344650186354,0.5514491907141382,1.1698003867014026,Aston Villa
