id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
156,0,0,0,0.0,0.0,0,80801,0,0,0,0,0.0,0,3,0.0,0.0,0,Idrissa,0.0,0,0,0.0,False,0.0,0,Joined PSG on a permanent deal on 30/7,2019-07-30T09:00:05.841634Z,50,0,0,0,80801.jpg,0.0,0,0,Gueye,0.0,False,,u,8,11,0.0,0,478,2,2162,4,0.0,0.0,Gueye,0,,,,,,,,Everton
158,0,0,132,0.0,0.0,1,42774,0,0,-1,1,78.5,0,3,0.0,0.0,0,Morgan,0.8,20,0,25.5,False,143.2,998,Knee injury - Unknown return date,2020-02-28T16:30:25.542559Z,44,0,0,0,42774.jpg,1.2,1,0,Schneiderlin,0.6,False,,i,8,11,32.0,18,38906,9,84319,616,0.2,4.1,Schneiderlin,4,15.0,23.39757195290285,1.5598381301935234,1.4752863546672783,1.6769967616858843,0.35450866595307345,0.7436236512091601,Everton
205,0,2,202,100.0,100.0,2,41823,0,0,-2,2,146.7,0,2,-0.7,-0.7,0,Fabian,-0.2,24,0,35.4,False,183.0,1187,,2020-02-01T17:30:19.305790Z,53,0,0,0,41823.jpg,1.5,1,0,Delph,0.2,False,,a,8,11,24.0,24,13482,59,30706,65,0.0,4.5,Delph,3,16.0,35.836306999052155,2.2397691874407597,1.741982925226594,1.997043232809788,0.42259795989448296,0.9728935652202603,Everton
422,0,0,83,100.0,100.0,2,120250,0,0,-3,3,96.9,0,3,0.0,0.0,2,André Filipe,0.5,9,0,18.6,False,63.6,696,,2019-11-03T18:30:18.626117Z,52,0,0,0,120250.jpg,1.5,0,0,Tavares Gomes,0.3,False,,a,8,11,25.0,15,13770,399,69868,73,0.1,2.9,André Gomes,4,10.0,18.5650479686019,1.85650479686019,1.6509282634215052,1.5812808863872534,0.3570201532423442,0.8141312099840984,Everton
477,0,0,0,0.0,0.0,0,232964,0,0,-2,2,0.0,0,2,0.0,0.0,0,Lewis,0.0,0,0,0.0,False,0.0,0,Joined Fleetwood Town on loan until the end of the season on 31/1. - Expected back 01 Jul,2020-01-31T10:30:16.201935Z,43,0,0,0,232964.jpg,0.0,0,0,Gibson,0.1,False,,n,8,11,0.0,0,4632,3,11312,57,0.0,0.0,Gibson,0,,,,,,,,Everton
478,4,5,327,,,3,194164,0,0,-1,1,51.6,0,2,1.3,1.3,2,Mason,1.8,28,0,57.7,False,373.6,1642,,,44,0,0,0,194164.jpg,2.7,0,0,Holgate,2.2,False,,a,8,11,150.0,56,263767,1462,122949,5358,0.4,12.7,Holgate,3,20.740740740740737,73.23740715137505,3.5310892733698687,2.8810746545479438,3.610497024832784,0.8025202894022428,1.683380760722286,Everton
479,0,0,0,0.0,0.0,0,57513,0,0,-2,2,0.0,0,1,0.0,0.0,0,Jonas,0.0,0,0,0.0,False,0.0,0,Joined Huddersfield Town on loan until the end of the season on 31/1. - Expected back 01 Jul,2020-01-31T22:30:14.186781Z,43,0,0,0,57513.jpg,0.0,0,0,Lössl,0.3,False,,n,8,11,0.0,0,2328,5,29897,88,0.0,0.0,Lössl,0,,,,,,,,Everton
496,2,3,93,,,1,242058,0,0,-6,6,99.2,0,4,1.0,1.0,1,Moise,1.5,12,1,51.0,False,99.0,638,,,64,0,0,0,242058.jpg,1.9,0,0,Kean,1.4,False,,a,8,11,318.0,39,87280,204,451995,501,0.2,6.1,Kean,0,20.526315789473685,44.284060150375936,2.157428571428571,2.100571023818953,2.6549110645170377,0.3370982142857142,0.8527985218546937,Everton
497,0,0,14,0.0,0.0,1,160987,0,0,-2,2,6.3,0,3,0.0,0.0,0,Jean-Philippe,0.0,0,0,2.6,False,20.0,135,Thigh injury - Expected back 04 Apr,2019-08-23T21:30:13.493993Z,48,0,0,0,160987.jpg,2.0,0,0,Gbamin,0.0,False,,i,8,11,0.0,4,2775,1,7192,2,0.0,0.8,Gbamin,0,2.0,3.5730095937203803,1.78650479686019,,,0.3721884993458729,0.8154241469429254,Everton
511,4,9,334,100.0,100.0,4,102747,-1,1,-4,4,300.0,1,2,0.7,0.7,1,Djibril,1.2,25,0,81.3,False,403.2,1548,,2019-12-15T14:00:21.169468Z,51,0,0,0,102747.jpg,3.2,0,0,Sidibé,1.2,False,,a,8,11,111.0,64,235732,413,183788,4472,0.2,12.5,Sidibé,3,20.0,69.48850404956708,3.4744252024783533,2.6977926493690654,2.9341996249574707,0.6812598436232066,1.5385013390052447,Everton
