id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,ppg_estimate,form 5,ppg next 1,ppg next 5,ppg next 10,value,adjusted value,valuePoints metric,valueAdjustedPoints metric
432,1,0,184,100.0,100.0,1,91651,0,0,-2,2,151.4,0,3,1.3,2.3,2,Mateo,1.8,13,0,39.2,False,169.0,789,,2019-10-13T21:00:19.697457Z,53,0,0,0,91651.jpg,1.8,0,0,Kovacic,0.9,False,,a,Chelsea,8,72.0,22,64047,1324,88692,1124,0.3,4.2,Kovacic,2,12.222222222222221,27.1922654689353,2.2248217201856155,1.84,1.63,2.0,1.9080000000000001,1.87,0.34716981132075475,0.41977768305388974,0.7992449266840477,0.9664008003450157
459,0,1,146,100.0,100.0,2,103192,0,0,-3,3,9.5,0,2,3.5,4.5,6,Kurt,4.0,15,0,24.9,False,188.0,903,,2019-09-28T16:00:17.677906Z,47,1,0,0,103192.jpg,1.8,0,0,Zouma,1.7,False,,a,Chelsea,8,56.0,20,69884,2785,172246,920,0.9,4.3,Zouma,1,11.111111111111107,28.118071092974358,2.530626398367692,2.07,3.21,3.5,2.672,2.244,0.4404255319148936,0.5384311485888706,0.954819800309896,1.1672909141779668
460,2,16,277,100.0,100.0,4,173879,1,-1,10,-10,142.9,4,4,6.3,7.3,8,Tammy,6.8,11,10,104.5,True,401.8,887,,2019-09-14T17:00:16.854161Z,80,1,0,0,173879.jpg,6.8,0,0,Abraham,50.1,False,,a,Chelsea,8,501.0,81,3661201,66916,531779,11362,0.9,10.3,Abraham,2,11.911764705882351,70.6795918367347,5.933595364071556,6.21,6.7,2.0,5.444000000000001,5.114,0.77625,0.7416994205089446,2.19556655558423,2.0978427593760296
461,2,1,46,,,0,94245,0,0,-4,4,13.5,0,4,0.7,1.7,4,Michy,1.2,2,1,19.9,False,49.8,64,,,66,0,0,0,94245.jpg,2.6,0,0,Batshuayi,0.5,False,,a,Chelsea,8,140.0,18,17865,779,50359,702,0.2,2.7,Batshuayi,0,6.9230769230769225,15.8795918367347,2.293718820861679,2.73,3.3200000000000003,4.4,3.556,2.9850000000000003,0.41363636363636364,0.34753315467601203,1.062651058780479,0.8928288401221154
462,0,0,0,0.0,0.0,0,167767,0,0,-2,2,0.0,0,3,0.0,0.0,0,Robert Kenedy,0.0,0,0,0.0,False,0.0,0,Joined Getafe on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:15.527764Z,53,0,0,0,167767.jpg,0.0,0,0,Nunes do Nascimento,0.0,False,,n,Chelsea,8,0.0,0,750,3,4228,16,0.0,0.0,Kenedy,0,,,,2.0,2.0,2.0,2.0,2.0,0.37735849056603776,,0.8687444855261388,
463,2,6,199,100.0,75.0,3,184341,-1,1,8,-8,327.0,0,3,2.5,2.6,3,Mason,3.0,17,4,97.6,False,272.6,1038,,2019-11-05T22:00:17.579402Z,68,0,0,0,184341.jpg,4.8,0,0,Mount,33.3,False,,a,Chelsea,8,375.0,58,3189684,18673,1105541,77098,0.4,8.5,Mount,1,12.083333333333336,57.1354424151371,4.728450406769967,4.59,4.01,2.0,4.263999999999999,3.7710000000000004,0.675,0.6953603539367598,1.7601846494047153,1.8132779567468358
506,0,0,36,100.0,100.0,1,225796,0,0,0,0,4.8,0,2,1.5,2.5,6,Reece,2.0,2,0,3.8,False,24.8,119,,2019-10-11T10:00:13.189023Z,50,0,0,0,225796.jpg,2.0,0,0,James,0.1,False,,a,Chelsea,8,8.0,8,9945,2064,7607,158,0.4,1.6,James,0,4.0,9.370505593470767,2.342626398367692,2.0,2.0,2.0,1.944,1.7080000000000002,0.4,0.46852527967353835,0.8944271909999159,1.0476543745271323
529,0,6,185,,,3,194794,0,0,3,-3,55.8,2,2,3.7,4.7,9,Fikayo,4.2,10,1,32.7,False,234.0,810,,,48,0,0,0,194794.jpg,4.0,0,0,Tomori,7.8,False,,a,Chelsea,8,35.0,36,609696,22359,89481,4694,0.9,7.5,Tomori,2,9.0,31.28363758530923,3.4759597317010256,3.81,3.8,2.0,3.704,2.8150000000000004,0.7937500000000001,0.7241582774377137,1.7390191200789025,1.5865512950268805
533,0,0,5,,,0,243568,0,0,0,0,12.6,0,3,-0.3,0.7,1,Billy,0.2,1,0,1.5,False,2.8,9,,,45,0,0,0,243568.jpg,1.0,0,0,Gilmour,0.0,False,,a,Chelsea,8,0.0,2,1970,54,1362,35,0.0,0.4,Gilmour,0,2.0,2.9713131991838457,1.4856565995919229,1.12,1.05,2.0,1.392,1.4680000000000002,0.2488888888888889,0.3301459110204273,0.5279730632859555,0.700345237390664
545,0,0,0,,,0,209036,0,0,0,0,0.0,0,2,-0.5,0.5,0,Addji Keaninkin Marc-Israel,0.0,0,0,0.0,False,0.0,0,,,40,0,0,0,209036.jpg,0.0,0,0,Guehi,0.1,False,,a,Chelsea,8,0.0,0,3766,165,1799,164,0.0,0.0,Guehi,0,,,,2.0,2.0,2.0,2.0,2.0,0.5,,1.0,
123,0,3,194,,,3,74230,0,0,1,-1,138.8,1,2,0.0,0.5,1,Patrick,1.0,16,2,47.7,False,222.2,1080,,,56,1,0,0,74230.jpg,3.6,0,0,van Aanholt,11.1,False,,a,Crystal Palace,31,117.0,43,705197,2642,441416,19935,0.2,7.7,van Aanholt,0,11.944444444444445,39.781854943876745,3.3305739022780534,3.76,2.83,2.76,4.058,4.058000000000002,0.6714285714285715,0.5947453396925095,1.5888899988896112,1.4074243520990277
124,0,0,39,100.0,100.0,0,49413,0,0,0,0,0.6,0,2,-0.2,0.3,1,James,0.8,8,0,6.5,False,56.4,352,,2019-06-25T11:30:07.097330Z,50,0,0,0,49413.jpg,0.8,0,0,Tomkins,0.0,False,,a,Crystal Palace,31,8.0,3,1572,61,1354,64,0.2,0.6,Tomkins,1,3.75,7.298954459124098,1.9463878557664256,0.87,0.87,1.18,2.036,2.036,0.174,0.3892775711532851,0.3890758280849634,0.8704511112147567
