,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
49,49,Bryan,es ESP,"FW,MF",Tottenham,20-295,2001,5,0,62,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
50,50,Emi Buendía,ar ARG,"MF,FW",Aston Villa,24-343,1996,12,9,711,7.9,1,1,1,0,0,1,0,0.13,0.13,0.25,0.13,0.25,1.0,1.0,1.7,2.6,0.12,0.21,0.33,0.12,0.33,Matches
52,51,Dan Burn,eng ENG,DF,Brighton,29-208,1992,5,4,302,3.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.06,0.01,0.07,0.06,0.07,Matches
53,52,Dominic Calvert-Lewin,eng ENG,FW,Everton,24-262,1997,3,3,248,2.8,3,0,1,2,2,0,0,1.09,0.0,1.09,0.36,0.36,3.8,2.3,0.1,2.4,1.38,0.05,1.44,0.83,0.89,Matches
54,53,João Cancelo,pt POR,DF,Manchester City,27-190,1994,14,14,1247,13.9,0,3,0,0,0,4,0,0.0,0.22,0.22,0.0,0.22,1.7,1.7,2.0,3.7,0.12,0.15,0.26,0.12,0.26,Matches
55,54,Sergi Canós,es ESP,DF,Brentford,24-304,1997,14,14,1149,12.8,1,2,1,0,0,4,0,0.08,0.16,0.23,0.08,0.23,1.1,1.1,1.2,2.3,0.09,0.09,0.18,0.09,0.18,Matches
56,55,Todd Cantwell,eng ENG,"FW,MF",Norwich City,23-279,1998,6,4,360,4.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.03,0.05,0.08,0.03,0.08,Matches
57,56,Matty Cash,pl POL,DF,Aston Villa,24-118,1997,14,14,1243,13.8,1,0,1,0,0,4,0,0.07,0.0,0.07,0.07,0.07,0.7,0.7,0.4,1.1,0.05,0.03,0.08,0.05,0.08,Matches
58,57,Timothy Castagne,be BEL,DF,Leicester City,25-363,1995,12,9,958,10.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.01,0.03,0.03,0.01,0.03,Matches
59,58,Craig Cathcart,nir NIR,DF,Watford,32-300,1989,12,12,1013,11.3,0,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,Matches
60,59,Edinson Cavani,uy URU,FW,Manchester Utd,34-292,1987,5,2,213,2.4,1,0,1,0,0,0,0,0.42,0.0,0.42,0.42,0.42,1.4,1.4,0.0,1.4,0.6,0.01,0.61,0.6,0.61,Matches
