,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
99,97,Hamza Choudhury,eng ENG,MF,Leicester City,22.0,1997.0,10,4,316,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.11,0.0,0.11,0.11,0.11,Matches
100,98,Andreas Christensen,dk DEN,DF,Chelsea,24.0,1996.0,17,15,1371,15.2,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03,Matches
101,99,Carney Chukwuemeka,eng ENG,"FW,MF",Aston Villa,16.0,2004.0,2,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.29,0.0,0.29,0.29,0.29,Matches
102,100,Ciaran Clark,ie IRL,DF,Newcastle Utd,30.0,1989.0,22,21,1891,21.0,1,0,1,0,0,3,0,0.05,0.0,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0.0,0.02,0.02,0.02,Matches
104,101,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29.0,1991.0,13,13,1145,12.7,0,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
105,102,Conor Coady,eng ENG,DF,Wolves,27.0,1993.0,37,37,3303,36.7,1,0,1,0,0,5,0,0.03,0.0,0.03,0.03,0.03,1.3,1.3,0.1,1.4,0.03,0.0,0.04,0.03,0.04,Matches
106,103,Séamus Coleman,ie IRL,"DF,MF",Everton,31.0,1988.0,25,18,1613,17.9,0,3,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17,1.2,1.2,1.9,3.1,0.06,0.11,0.17,0.06,0.17,Matches
107,104,Aaron Connolly,ie IRL,FW,Brighton,20.0,2000.0,17,9,791,8.8,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,3.5,3.5,0.2,3.7,0.4,0.02,0.42,0.4,0.42,Matches
108,105,Liam Cooper,sct SCO,DF,Leeds United,28.0,1991.0,25,25,2185,24.3,1,0,1,0,0,4,1,0.04,0.0,0.04,0.04,0.04,1.3,1.3,0.0,1.3,0.05,0.0,0.05,0.05,0.05,Matches
109,106,Theo Corbeanu,ca CAN,FW,Wolves,18.0,2002.0,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.9,0.9,0.0,0.9,Matches
110,107,Jack Cork,eng ENG,MF,Burnley,31.0,1989.0,16,15,1350,15.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.8,0.02,0.04,0.06,0.02,0.06,Matches
111,108,Hélder Costa,pt POR,"MF,FW",Leeds United,26.0,1994.0,22,13,1156,12.8,3,3,3,0,0,0,0,0.23,0.23,0.47,0.23,0.47,2.0,2.0,0.9,2.9,0.16,0.07,0.23,0.16,0.23,Matches
112,109,Vladimír Coufal,cz CZE,DF,West Ham,27.0,1992.0,34,34,3054,33.9,0,7,0,0,0,3,0,0.0,0.21,0.21,0.0,0.21,1.2,1.2,4.6,5.8,0.04,0.14,0.17,0.04,0.17,Matches
113,110,Aaron Cresswell,eng ENG,DF,West Ham,30.0,1989.0,36,36,3170,35.2,0,8,0,0,0,3,0,0.0,0.23,0.23,0.0,0.23,0.9,0.9,5.9,6.9,0.03,0.17,0.19,0.03,0.19,Matches
114,111,Patrick Cutrone,it ITA,"FW,MF",Wolves,22.0,1998.0,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.61,0.0,0.61,0.61,0.61,Matches
115,112,Stuart Dallas,nir NIR,"DF,MF",Leeds United,29.0,1991.0,38,38,3409,37.9,8,2,8,0,0,7,0,0.21,0.05,0.26,0.21,0.26,4.6,4.6,2.1,6.7,0.12,0.05,0.18,0.12,0.18,Matches
116,113,Scott Dann,eng ENG,DF,Crystal Palace,33.0,1987.0,15,15,1350,15.0,1,0,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,0.3,0.3,0.0,0.4,0.02,0.0,0.02,0.02,0.02,Matches
