id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,next10_xP,next1_xP,next5_xP
96,0,23,789,,,15,98747,0,0,0,0,30.3,305,1,0,1,0.0,,0,Nick,0.0,50,0,93.1,148,4,False,900.0,16,4,3420,,,55,0,0,1,98747.jpg,4.5,0,120,Pope,22.0,False,,a,4,90,2.0,338,3,170,0,0,0,0,0.0,30.9,Pope,1,Burnley,37.77777777777778,155.05360864400882,0.0,0.0,42.95360864400882,0.7,2.1,4.1043602288119985,4.062812152064382,3.7433137103188927,4.201142282191187
97,1,5,375,,,10,103914,0,0,0,0,243.0,145,31,0,2,0.0,,0,Charlie,0.0,18,0,64.7,215,65,False,382.6,170,62,1944,,,45,0,0,0,103914.jpg,3.5,0,0,Taylor,6.6,False,,a,4,90,19.0,313,115,84,0,0,0,0,0.0,18.7,Taylor,3,Burnley,24.0,73.1993846701783,0.0,0.0,27.28817490325266,1.4,4.199999999999998,3.0499743612574286,3.007212816904042,2.668217750888237,3.1553606105959218
98,0,0,111,,,4,172782,0,0,0,0,58.5,273,140,0,3,0.0,,0,Josh,0.0,10,0,20.8,319,139,False,101.2,317,136,805,,,50,0,0,0,172782.jpg,2.1,0,0,Brownhill,0.1,False,,a,4,90,49.0,285,139,21,0,0,0,0,0.0,4.2,Brownhill,2,Burnley,10.0,22.64251821908882,0.5,2.5,2.8425182190888187,0.1,0.30000000000000004,2.264251821908882,2.2511606529280854,2.1278388237513983,2.3076213409043707
99,0,0,0,,,0,220037,0,0,0,0,0.0,372,18,0,1,0.0,,0,Bailey,0.0,0,0,0.0,391,36,False,0.0,391,36,0,,,40,0,0,0,220037.jpg,0.0,0,0,Peacock-Farrell,1.6,False,,a,4,90,0.0,352,11,0,0,0,0,0,0.0,0.0,Peacock-Farrell,0,Burnley,,,,,,,,,,,
100,7,6,529,,,16,433154,0,0,0,0,931.4,10,7,0,3,0.0,,0,Dwight,0.0,48,2,200.6,37,20,False,644.2,59,15,3339,,,60,0,0,0,433154.jpg,3.2,0,0,McNeil,1.2,False,,a,4,90,430.0,75,40,123,0,0,0,0,0.0,20.5,McNeil,5,Burnley,38.4375,123.00439777310213,2.2,11.0,10.925929404622648,6.7,20.1,3.2001144136091613,3.1816464493209042,2.9719363577880706,3.281608560108899
101,0,0,74,,,1,20310,0,0,0,0,0.0,439,41,0,1,3.5,,0,Willy,0.0,7,0,9.0,347,27,False,90.2,321,27,450,,,50,0,0,0,20310.jpg,2.6,0,10,Caballero,0.4,False,,a,5,8,0.0,432,37,13,0,0,0,0,0.0,2.6,Caballero,0,Chelsea,5.0,16.494379399454296,0.0,0.0,7.494379399454295,0.0,0.0,3.298875879890859,3.447339173169432,2.911709785686465,3.28249115203123
102,6,16,700,,,8,41328,0,0,0,0,708.7,23,4,0,2,3.9,,0,César,0.0,53,2,205.4,32,4,False,905.2,15,4,3229,,,60,0,0,0,41328.jpg,3.6,0,0,Azpilicueta,8.0,False,,a,5,8,438.0,73,5,130,0,0,0,0,0.0,21.7,Azpilicueta,1,Chelsea,36.111111111111114,159.69333204205705,2.7,16.200000000000006,54.12607344050323,5.7,17.1,4.422276887318502,4.614001564805375,3.9012040414308053,4.402206334438967
103,1,5,253,,,6,44346,0,0,0,0,144.8,206,29,0,4,3.3,,0,Olivier,0.0,16,8,105.4,123,25,False,316.2,196,21,988,,,70,0,0,0,44346.jpg,3.8,0,0,Giroud,1.6,False,,a,5,8,598.0,52,24,68,0,0,0,0,0.0,9.7,Giroud,1,Chelsea,17.894736842105264,64.41120976692564,6.7,26.8,0.0,1.3,3.9,3.5994499575634915,3.679934056935685,3.350327917057465,3.5925927958568202
104,4,11,395,,,7,82263,0,0,0,0,413.4,88,16,0,2,3.9,,0,Marcos,0.0,18,4,124.3,92,18,False,411.8,158,56,1429,,,60,0,0,0,82263.jpg,5.6,0,0,Alonso,3.9,False,,a,5,8,420.0,80,7,100,0,0,0,0,0.0,16.7,Alonso,4,Chelsea,17.857142857142858,83.61047978003931,2.0,12.0,26.76564071233677,2.0,6.0,4.682186867682201,4.877938881236512,4.148648228094256,4.661773189950962
105,3,9,535,,,6,85955,0,0,0,0,422.4,84,61,0,3,2.4,,0,Jorge Luiz,0.0,40,4,118.4,99,58,False,600.0,72,21,2376,,,50,0,0,0,85955.jpg,3.0,0,0,Frello Filho,1.8,False,,a,5,8,158.0,197,104,92,0,0,0,0,0.0,18.4,Jorginho,10,Chelsea,30.66666666666667,93.38501104660685,3.4,15.56,11.491381745829921,2.4,7.1999999999999975,3.0451634036937016,3.1170971382929706,2.8406001690618052,3.0381007718362656
106,5,5,208,,,5,88894,0,0,0,0,344.3,102,69,0,3,3.1,,0,Ross,0.0,14,1,98.2,139,74,False,266.0,227,97,1095,,,60,0,0,0,88894.jpg,2.9,0,0,Barkley,0.3,False,,a,5,8,373.0,89,48,61,0,0,0,0,0.0,10.2,Barkley,0,Chelsea,21.03448275862069,66.03806854784736,2.1,10.5,7.882019713219173,2.7,8.100000000000001,3.1395147342419234,3.2181143197862823,2.9143187236691497,3.131884178804555
107,3,6,461,0.0,,4,91651,0,0,0,0,458.5,61,48,0,3,0.0,,0,Mateo,0.0,37,1,114.0,107,63,False,497.0,121,43,2065,Suspended until 19 Sep,2020-08-15T10:00:11.528964Z,55,0,0,0,91651.jpg,2.2,0,0,Kovacic,0.2,False,,s,5,8,186.0,179,99,68,0,0,0,0,0.0,12.4,Kovacic,8,Chelsea,30.90909090909091,76.41585200902445,1.4,7.0,11.582222708247544,1.9,5.6999999999999975,2.4722775649978503,2.5286692818239147,2.3158214622273245,2.4665390969187277
