id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week2,goals_week2,xPoints week 2,clean_sheet_points,xGA_week2,cleansheet_week2,xA,xA_points,xA_week2,assists_week2,adjusted points per game,xPoints week 1,next1_xP,next5_xP,next10_xP,value,valuePoints metric
537,0,0,0,25.0,,0,449926,,,0,0,0,0,0.0,408,163,,,0,3,0.4,2.0,0,Adrián,0.0,0,0,0.0,423,162,False,0.0,416,159,0,Leg injury - 25% chance of playing,2020-09-24T23:30:12.771005Z,45,0,0,,0,,449926.jpg,0.0,0,0,Bernabé,0.0,False,,d,12,43,0.0,371,135,0,249,249,89,89,0.0,0.0,Bernabé,0,Manchester City,,,,,,,,,,,,,,,,,,,,,
538,0,0,0,,,0,164484,,,0,0,0,0,0.0,379,38,,,0,1,2.3,2.8,0,Zack,0.0,0,0,0.0,395,52,False,0.0,386,52,0,,,45,0,0,,0,,164484.jpg,0.0,0,0,Steffen,0.0,False,,a,12,43,0.0,335,37,0,113,113,25,25,0.0,0.0,Steffen,0,Manchester City,,,,,,,,,,,,,,,,,,,,,
539,0,0,0,,,0,463034,,,0,0,0,0,0.0,409,42,,,0,4,1.5,2.0,0,Liam,0.0,0,0,0.0,424,44,False,0.0,417,40,0,,,45,0,0,,0,,463034.jpg,0.0,0,0,Delap,0.3,False,,a,12,43,0.0,372,44,0,15911,15911,3565,3565,0.0,0.0,Delap,0,Manchester City,,,,,,,,,,,,,,,,,,,,,
289,0,0,0,0.0,0.0,0,42899,,,0,0,0,0,0.0,446,44,,,0,1,0.0,0.0,0,Sergio,0.0,0,0,0.0,459,56,False,0.0,452,56,0,Personal Reasons - Unknown return date,2020-09-18T11:00:13.071653Z,50,0,0,,0,,42899.jpg,0.0,0,0,Romero,0.1,False,,i,13,1,0.0,418,44,0,186,42,3994,2244,0.0,0.0,Romero,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
290,0,0,0,,,0,43670,4.0,,0,0,0,0,0.0,524,209,4.0,,0,3,1.0,0.5,0,Juan,0.0,0,0,0.0,525,207,False,0.0,521,205,0,,,60,0,0,5.0,0,,43670.jpg,0.0,0,0,Mata,0.1,False,,a,13,1,0.0,518,202,0,951,310,2749,1717,0.0,0.0,Mata,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
291,0,0,12,,,0,51940,,,0,0,0,0,0.0,495,55,,,0,1,2.0,1.5,1,David,1.0,3,0,1.7,249,18,False,16.6,169,18,90,,,55,0,0,,0,,51940.jpg,1.0,0,2,de Gea,4.4,False,,a,13,1,0.0,481,55,1,39769,14835,48073,31693,0.2,0.2,de Gea,0,Manchester Utd,1.0,1.8075860719786208,0.0,0.0,0.0,0.0,1.8075860719786208,0.8075860719786215,1.6,0.0,0.0,0.0,0.0,0.0,1.8075860719786208,,1.5365654641587945,1.7610478419801705,1.6909273596857055,0.32865201308702197,0.7707572908405319
292,0,0,0,,,0,55909,,,0,0,0,0,0.0,449,178,,,0,2,1.0,0.5,0,Chris,0.0,0,0,0.0,462,178,False,0.0,455,178,0,,,50,0,0,,0,,55909.jpg,0.0,0,0,Smalling,0.2,False,,a,13,1,0.0,422,170,0,1414,366,4368,2747,0.0,0.0,Smalling,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
293,0,0,1,,,0,58498,,,-1,1,-1,1,0.1,277,38,,,0,4,2.0,1.5,1,Odion,1.0,1,0,0.2,297,40,False,0.0,536,64,9,,,64,0,0,,0,,58498.jpg,1.0,0,0,Ighalo,0.3,False,,a,13,1,2.0,208,38,1,2890,843,7970,4900,0.2,0.2,Ighalo,0,Manchester Utd,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.15625,0.39528470752104744
294,0,0,0,,,0,58893,,,0,0,0,0,0.0,452,180,,,0,2,1.0,0.5,0,Marcos,0.0,0,0,0.0,465,180,False,0.0,458,180,0,,,50,0,0,,0,,58893.jpg,0.0,0,0,Rojo,0.1,False,,a,13,1,0.0,425,172,0,300,89,1320,755,0.0,0.0,Rojo,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
295,0,0,0,,,0,62398,,,0,0,0,0,0.0,454,184,,,0,3,1.0,0.5,0,Nemanja,0.0,0,0,0.0,466,183,False,0.0,459,180,0,,,50,0,0,,0,,62398.jpg,0.0,0,0,Matic,0.2,False,,a,13,1,0.0,428,164,0,3036,955,6226,3947,0.0,0.0,Matic,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,
