id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week5,goals_week5,xPoints week 5,clean_sheet_points,xGA_week5,cleansheet_week5,xA,xA_points,xA_week5,assists_week5,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,xPoints week 4,xG_week4,goals_week4,xGA_week4,cleansheet_week4,xA_week4,assists_week4,next1_xP,next5_xP,next10_xP,value,valuePoints metric
122,0,0,44,,,1,209046,6.0,,0,0,-2,2,59.5,75,51,,,0,3,3.0,3.5,0,Callum,3.0,0,1,15.5,116,64,False,46.6,189,76,137,,,58,0,0,,0,,209046.jpg,3.3,0,0,Hudson-Odoi,0.4,False,,a,5,8,49.0,93,48,10,19780,668,31306,4327,0.5,1.7,Hudson-Odoi,0,Chelsea,3.0303030303030303,6.803746287059875,0.3,1.5,,,,0.7037462870598752,2.2,0.0,0.2,0.6000000000000001,,,2.2452362747297587,1.2725317930340123,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,2.3,0.2,1.0,1.0,0.0,0.1,0.0,3.70483741803596,0.09999999999999998,0.0,0.09999999999999963,1.0,0.1,0.0,2.5203136412445506,2.324079001482932,2.256297822427167,0.3871097025396136,0.9322836190997817
123,1,4,88,,,0,225796,3.0,,-1,1,0,0,125.3,19,5,,,1,2,0.7,1.2,1,Reece,0.7,7,1,28.3,41,4,False,139.6,22,5,273,,,50,0,0,,0,,225796.jpg,4.2,0,0,James,11.7,False,,a,5,8,17.0,210,65,17,932303,8999,634182,129909,0.1,3.4,James,1,Chelsea,4.047619047619048,15.751050359335668,0.1,0.6000000000000001,0.0,0.0,1.0,3.7600158765770484,2.2,0.0,0.7,2.1,0.0,0.0,3.891435971129989,7.695127172136051,0.0,1.0,1.3,0.0,0.1,1.0,1.2688220509589991,0.0,0.0,2.7,0.0,0.0,0.0,4.87151776468577,0.1,0.0,1.0,0.0,0.6,0.0,,,,0.09999999999999963,0.0,,,3.9975391744531086,3.953204032542275,3.8569809251934966,0.7782871942259978,1.7403030723069128
124,0,0,0,0.0,0.0,0,243568,,,0,0,0,0,0.0,483,194,,,0,3,0.0,0.0,0,Billy,0.0,0,0,0.0,499,194,False,0.0,495,194,0,Knee injury - Expected back 21 Nov,2020-08-15T10:00:11.591471Z,45,0,0,,0,,243568.jpg,0.0,0,0,Gilmour,0.1,False,,i,5,8,0.0,454,178,0,1968,171,6706,570,0.0,0.0,Gilmour,0,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2,3,76,100.0,100.0,1,172850,2.0,,1,-1,2,-2,114.0,24,6,,,1,2,7.0,7.5,3,Benjamin,7.0,3,1,26.9,48,8,False,106.4,58,16,180,,2020-10-13T20:30:13.983738Z,57,0,0,,0,,172850.jpg,10.5,0,0,Chilwell,13.4,False,,a,5,8,48.0,96,17,21,954869,231427,151374,28480,1.2,3.7,Chilwell,1,Chelsea,2.0,12.13995916335531,0.2,1.2000000000000002,0.1,0.0,2.934247116207956,1.8578901978380704,2.2,0.0,0.5,1.5,0.2,1.0,6.069979581677655,,,,,,,,,,,,,,,,,,,,,,11.52017611842483,0.1,1.0,0.09999999999999963,1.0,0.3,1.0,6.49864970626071,6.2140282444039565,6.0610588907151834,1.0649086985399394,2.5424346710364767
490,0,0,41,100.0,0.0,1,51090,,,0,0,0,0,15.3,216,61,,,0,2,2.3,0.0,0,Thiago,2.3,3,0,5.8,262,91,False,40.0,213,84,162,,2020-10-16T13:30:23.625681Z,55,0,0,,0,,51090.jpg,3.5,0,0,Thiago,2.0,False,,a,5,8,2.0,307,108,7,64233,2709,150141,18595,0.4,1.3,Thiago Silva,0,Chelsea,2.0,4.857890197838072,0.0,0.0,,,,1.8578901978380704,2.2,0.0,0.0,0.0,,,2.428945098919036,,,,,,,,,,,,,,,2.4715177646857693,0.0,0.0,1.0,0.0,0.0,0.0,5.619349672143838,0.0,0.0,0.09999999999999963,1.0,0.0,0.0,2.2199829372905917,2.410346061373447,2.3695495202172223,0.44162638162164297,1.035705670155975
500,2,0,75,,,1,219847,,,0,0,-1,1,92.6,40,29,,,0,3,6.0,6.5,7,Kai,6.0,7,1,25.3,54,29,False,93.0,72,25,394,,,84,0,0,,0,,219847.jpg,4.2,0,0,Havertz,8.8,False,,a,5,8,67.0,72,40,21,429223,36548,692724,43795,0.7,2.5,Havertz,0,Chelsea,5.0,19.243250339166035,1.0,5.0,0.9,1.0,6.610803158362334,1.161181373648794,2.2,0.0,0.5,1.5,0.0,0.0,3.848650067833207,2.5725317930340124,0.0,0.0,1.3,0.0,0.1,0.0,1.0,0.0,0.0,2.7,0.0,0.0,0.0,4.564431165309374,0.1,0.0,1.0,0.0,0.1,1.0,5.2056638643169535,0.0,0.0,0.09999999999999963,1.0,0.3,1.0,4.410425803037169,4.000624019819742,3.882406620610452,0.45817262712300083,1.3279104308861558
548,0,0,20,100.0,0.0,1,228286,,,0,0,0,0,0.0,543,57,,,0,1,2.0,0.0,0,Edouard,2.0,0,0,0.5,370,23,False,5.0,343,23,90,,2020-10-09T00:00:14.848511Z,50,0,0,,0,,228286.jpg,6.0,0,0,Mendy,1.1,False,,a,5,8,0.0,536,57,6,129194,5224,72858,17628,0.4,1.2,Mendy,0,Chelsea,1.0,2.928945098919036,0.0,0.0,,,,0.9289450989190352,2.2,0.0,0.0,0.0,,,2.928945098919036,,,,,,,,,,,,,,,,,,,,,,5.619349672143838,0.0,0.0,0.09999999999999963,1.0,0.0,0.0,2.7199829372905917,2.9103460613734464,2.8695495202172223,0.5857890197838073,1.3098640687095622
108,1,0,13,100.0,100.0,1,94245,,,0,0,-2,2,2.2,300,43,,,0,4,2.5,2.0,5,Michy,2.0,0,0,1.2,355,43,False,1.8,369,43,106,,2020-09-27T12:30:10.890923Z,58,0,0,,0,,94245.jpg,2.3,0,0,Batshuayi,0.8,False,,a,6,31,9.0,246,42,7,25780,5940,121839,3017,0.3,1.2,Batshuayi,0,Crystal Palace,3.0434782608695654,5.29103448275862,0.0,0.0,0.0,0.0,3.2910344827586204,0.0,1.4000000000000004,1.0,0.0,0.0,0.0,1.0,1.7384827586206897,,,,,,,,1.0,0.0,0.0,0.7999999999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.9,0.0,0.0,0.0,,,,2.7,0.0,,,1.7384827586206897,1.7384827586206897,1.7384827586206897,0.29973840665873963,0.721865674535544
125,0,0,14,75.0,100.0,0,19419,,,0,0,0,0,0.0,441,177,,,0,2,0.9,0.7,2,Gary,0.7,1,0,2.6,320,117,False,26.0,263,106,90,Shin injury - 75% chance of playing,2020-10-18T23:00:21.692108Z,45,0,0,,0,,19419.jpg,2.0,0,0,Cahill,0.1,False,,d,6,31,0.0,407,164,2,3362,1954,3999,704,0.2,0.4,Cahill,0,Crystal Palace,1.0,2.823900392819534,0.0,0.0,0.0,0.0,2.9863878557664254,0.8239003928195338,1.4000000000000004,0.0,0.0,0.0,0.0,0.0,2.823900392819534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0301095159612967,3.071485567697972,2.7320573072513903,0.627533420626563,1.3311994114386985
126,0,0,0,25.0,25.0,0,20066,,,0,0,-1,1,0.0,403,22,,,0,1,0.1,0.0,0,Wayne,0.0,0,0,0.0,428,43,False,0.0,424,43,0,Muscle injury - 25% chance of playing,2020-10-15T01:00:16.946989Z,44,0,0,,0,,20066.jpg,0.0,0,0,Hennessey,0.6,False,,d,6,31,0.0,365,20,0,5828,154,25162,2911,0.0,0.0,Hennessey,0,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
