id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,xG_week4,goals_week4,xPoints week 4,clean_sheet_points,xGA_week4,cleansheet_week4,xA,xA_points,xA_week4,assists_week4,adjusted points per game,xPoints week 1,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1,xPoints week 2,xG_week2,goals_week2,xGA_week2,cleansheet_week2,xA_week2,assists_week2,xPoints week 3,xG_week3,goals_week3,xGA_week3,cleansheet_week3,xA_week3,assists_week3,next1_xP,next5_xP,next10_xP,value,valuePoints metric
22,0,3,39,,,0,205533,,,0,0,-2,2,3.2,267,39,,,0,4,2.3,3.3,1,Edward,2.8,1,1,8.3,179,31,False,39.4,182,22,90,,,58,0,0,,0,,205533.jpg,2.8,0,0,Nketiah,0.9,False,,a,1,3,42.0,95,31,11,23741,2080,88885,9854,0.5,1.9,Nketiah,0,Arsenal,3.928571428571429,10.6,0.9,3.6,0.0,0.0,1.0,0.0,0.20000000000000012,0.0,0.0,0.0,0.0,0.0,2.6981818181818182,1.0,0.0,0.0,0.2,0.0,0.0,0.0,7.6,0.9,1.0,1.9,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.8954276512646233,2.9471932428568874,2.750202330037359,0.4652037617554859,1.1203590191177284
23,0,0,0,100.0,0.0,0,209289,,,-1,1,-1,1,0.0,399,166,,,0,3,-0.5,0.0,0,Emile,0.0,0,0,0.0,420,165,False,0.0,415,165,0,,2020-09-11T11:00:08.673059Z,44,0,0,,0,,209289.jpg,0.0,0,0,Smith Rowe,0.2,False,,a,1,3,0.0,359,144,0,2740,1738,9394,1095,0.0,0.0,Smith Rowe,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,1,37,,,0,223340,4.0,,0,0,-2,2,26.3,135,84,,,0,3,2.0,3.0,8,Bukayo,2.5,2,1,15.8,79,47,False,48.0,142,56,174,,,53,0,0,,0,,223340.jpg,5.0,0,0,Saka,3.3,False,,a,1,3,83.0,40,19,10,42911,11285,326909,21324,0.5,1.9,Saka,0,Arsenal,2.0,7.531605918177853,0.4,2.0,0.30000000000000004,1.0,5.318730753077982,0.5316059181778532,0.20000000000000012,0.0,0.0,0.0,0.0,0.0,3.7658029590889264,,,,,,,,2.649568619222635,0.1,0.0,1.9,0.0,0.0,0.0,,,,3.0,0.0,,,3.9224324582229615,3.984603837984906,3.7711023335717337,0.7105288602054578,1.6357602771432602
25,0,0,0,0.0,,0,242166,,,0,0,-2,2,0.0,473,192,,,0,3,0.0,0.5,0,Matteo,0.0,0,0,0.0,486,191,False,0.0,482,191,0,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,48,0,0,,0,,242166.jpg,0.0,0,0,Guendouzi,0.1,False,,n,1,3,0.0,445,175,0,2508,271,9027,1780,0.0,0.0,Guendouzi,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0,0,0.0,0.0,0,444145,,,0,0,-1,1,0.0,505,204,,,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,0,0,0.0,517,203,False,0.0,513,203,0,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,49,0,0,,0,,444145.jpg,0.0,0,0,Martinelli Silva,0.0,False,,i,1,3,0.0,489,194,0,484,67,1795,201,0.0,0.0,Martinelli,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0,0,,,0,462424,,,-1,1,-3,3,0.0,368,144,,,0,2,-0.5,0.5,0,William,0.0,0,0,0.0,390,145,False,0.0,385,145,0,,,42,0,0,,0,,462424.jpg,0.0,0,0,Saliba,1.2,False,,a,1,3,0.0,323,124,0,15995,2088,159617,12850,0.0,0.0,Saliba,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,3,2,64,,,1,47431,2.0,,0,0,0,0,80.9,29,21,1.0,,1,3,4.5,5.5,2,Willian,5.0,4,0,17.6,62,37,False,52.2,136,52,294,,,80,0,0,,0,,47431.jpg,5.0,0,0,Borges Da Silva,10.6,False,,a,1,3,42.0,97,51,20,706737,17087,706102,167399,0.6,2.5,Willian,0,Arsenal,4.0,20.36569117519868,0.6,3.0,0.0,0.0,2.8187307530779817,1.0632118363557064,0.20000000000000012,0.0,0.7,2.1,0.0,0.0,5.09142279379967,12.333730753077983,0.6,0.0,0.2,1.0,0.2,3.0,2.4495686192226347,0.0,0.0,1.9,0.0,0.09999999999999998,0.0,3.249787068367864,0.0,0.0,3.0,0.0,0.4,0.0,5.307245610897543,5.3849518036125215,5.112333482604205,0.6364278492249588,1.800089791691752
494,0,3,68,,,1,226597,,,0,0,1,-1,3.3,263,87,,,1,2,4.3,5.3,2,Gabriel,4.8,2,1,13.7,102,27,False,98.6,43,13,270,,,51,0,0,,0,,226597.jpg,6.3,0,0,Magalhães,12.6,False,,a,1,3,35.0,115,24,19,761672,31262,315750,62339,0.9,3.7,Gabriel,0,Arsenal,3.0158730158730163,12.806511887421973,0.1,0.6000000000000001,0.0,0.0,5.274923012311927,3.2065118874219714,0.20000000000000012,0.0,0.0,0.0,0.0,0.0,4.246369731092549,8.874923012311926,0.1,1.0,0.2,1.0,0.0,0.0,2.5982744768905404,0.0,0.0,1.9,0.0,0.0,0.0,,,,3.0,0.0,,,4.0547171202892835,4.088680306041707,4.051787493078298,0.8326215159004998,1.8803241216812263
501,1,3,63,,,1,182539,3.0,,0,0,0,0,69.4,42,33,,,0,3,2.5,3.5,3,Daniel,3.0,2,0,17.1,68,40,False,77.0,73,28,212,,,50,0,0,,0,,182539.jpg,3.0,0,0,Ceballos Fernández,2.1,False,,a,1,3,24.0,154,82,12,102029,7734,97575,17816,0.6,2.4,Ceballos,1,Arsenal,4.0,14.364038282636695,0.0,0.0,0.0,0.0,3.118730753077982,1.0632118363557064,0.20000000000000012,1.0,1.3,3.9,0.10000000000000007,0.0,3.5910095706591743,1.8187307530779817,0.0,0.0,0.2,0.0,0.0,0.0,9.317989671854214,0.0,0.0,1.9,0.0,0.9,1.0,0.8999999999999998,0.0,0.0,3.0,0.0,0.29999999999999993,0.0,3.742257859069224,3.8030169831081633,3.5948897347490982,0.7182019141318349,1.6059483015692495
526,0,0,51,,,1,153256,,,0,0,0,0,19.7,167,102,,,0,3,1.3,2.3,2,Mohamed Naser,1.8,4,0,8.4,175,86,False,42.6,165,68,270,,,45,0,0,,0,,153256.jpg,2.3,0,0,El Sayed Elneny,1.6,False,,a,1,3,22.0,160,86,7,139393,7226,83943,13144,0.4,1.6,Elneny,0,Arsenal,3.0434782608695654,7.80896552766195,0.2,1.0,0.0,0.0,2.8187307530779817,0.8089655276619505,0.20000000000000012,0.0,0.0,0.0,0.0,0.0,2.5658029590889257,3.8187307530779817,,,0.2,1.0,,,0.0,0.0,0.0,1.9,0.0,0.0,0.0,2.049787068367864,0.0,0.0,3.0,0.0,0.0,0.0,2.5779085130644988,2.6021507391229277,2.5329863973056983,0.5701784353530946,1.2095311143735261
527,0,0,0,,,0,113534,,,0,0,0,0,0.0,351,12,,,0,1,-0.5,0.5,0,Matt,0.0,0,0,0.0,372,33,False,0.0,367,33,0,,,40,0,0,,0,,113534.jpg,0.0,0,0,Macey,0.9,False,,a,1,3,0.0,300,10,0,55942,10126,24011,3423,0.0,0.0,Macey,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,0,0,0,,,0,115918,,,0,0,0,0,0.0,435,39,,,0,1,-0.5,0.5,0,Rúnar Alex,0.0,0,0,0.0,451,55,False,0.0,446,55,0,,,45,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.0,False,,a,1,3,0.0,395,37,0,581,206,279,150,0.0,0.0,Rúnarsson,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,0,0,0,,,0,167199,,,0,0,0,0,0.0,515,209,,,0,3,1.0,2.0,0,Thomas,0.0,0,0,0.0,523,208,False,0.0,519,208,0,,,50,0,0,,0,,167199.jpg,0.0,0,0,Partey,0.3,False,,a,1,3,0.0,502,199,0,16780,16780,1412,1412,0.0,0.0,Partey,0,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,2,86,,,2,98980,,,1,-1,2,-2,0.0,464,44,,,0,1,6.3,5.8,3,Emiliano,7.3,2,0,9.3,160,6,True,93.2,50,5,270,,,47,0,0,,1,,98980.jpg,7.3,0,9,Martínez,18.1,False,,a,2,7,0.0,432,43,22,948827,281556,184059,21507,1.6,4.7,Martínez,0,Aston Villa,3.0136986301369864,18.012692515812468,0.0,0.0,0.0,0.0,3.7307340962109374,4.012692515812467,1.6999999999999995,0.0,0.0,0.0,0.0,0.0,5.976938880246864,,,,,,,,10.626278638962397,0.0,0.0,0.9,1.0,0.0,0.0,3.9863412151656377,0.0,0.0,0.7000000000000001,1.0,0.0,0.0,5.564977446419683,5.935043526761157,6.110234373870281,1.2716891234567795,2.7569563227544753
