id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,xPoints week 1,next1_xP,next5_xP,next10_xP,value,valuePoints metric,xG_week1,goals_week1,xGA_week1,cleansheet_week1,xA_week1,assists_week1
22,0,0,3,,,0,205533,,,0,0,0,0,0.0,497,55,,,0,4,2.3,2.8,1,Edward,1.0,0,0,0.0,498,56,False,0.0,495,54,3,,,60,0,0,,0,,205533.jpg,1.0,0,0,Nketiah,1.5,False,,a,1,3,0.0,491,56,1,2764,2764,27335,27335,0.2,0.2,Nketiah,0,Arsenal,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.16666666666666666,0.408248290463863,0.0,0.0,0.2,0.0,0.0,0.0
23,0,0,0,0.0,0.0,0,209289,,,0,0,0,0,0.0,319,117,,,0,3,0.0,0.0,0,Emile,0.0,0,0,0.0,334,118,False,0.0,327,115,0,Shoulder injury - Unknown return date,2020-09-11T11:00:08.673059Z,45,0,0,,0,,209289.jpg,0.0,0,0,Smith Rowe,0.2,False,,i,1,3,0.0,272,82,0,251,251,3447,3447,0.0,0.0,Smith Rowe,0,Arsenal,,,,,,,,,,,,,,,,,,,,
24,0,0,0,,,0,223340,3.0,,-1,1,-1,1,0.0,422,162,,,0,3,2.2,2.7,0,Bukayo,0.0,0,0,0.0,427,162,False,0.0,422,161,0,,,54,0,0,,0,,223340.jpg,0.0,0,0,Saka,6.2,False,,a,1,3,0.0,399,142,0,5730,5730,115534,115534,0.0,0.0,Saka,0,Arsenal,,,,,,,,,,,,,,,,,,,,
25,0,0,0,,,0,242166,,,0,0,0,0,0.0,417,159,,,0,3,1.9,2.4,0,Matteo,0.0,0,0,0.0,422,159,False,0.0,417,158,0,,,50,0,0,,0,,242166.jpg,0.0,0,0,Guendouzi,0.2,False,,a,1,3,0.0,393,138,0,478,478,2557,2557,0.0,0.0,Guendouzi,0,Arsenal,,,,,,,,,,,,,,,,,,,,
26,0,0,0,0.0,0.0,0,444145,,,0,0,0,0,0.0,419,160,,,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,0,0,0.0,424,160,False,0.0,419,159,0,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,50,0,0,,0,,444145.jpg,0.0,0,0,Martinelli Silva,0.0,False,,i,1,3,0.0,396,140,0,168,168,647,647,0.0,0.0,Martinelli,0,Arsenal,,,,,,,,,,,,,,,,,,,,
27,0,0,0,,,0,462424,,,-1,1,-1,1,0.0,229,87,,,0,2,2.0,2.5,0,William,0.0,0,0,0.0,248,88,False,0.0,240,88,0,,,44,0,0,,0,,462424.jpg,0.0,0,0,Saliba,2.7,False,,a,1,3,0.0,166,63,0,3547,3547,55684,55684,0.0,0.0,Saliba,0,Arsenal,,,,,,,,,,,,,,,,,,,,
478,3,2,35,,,1,47431,2.0,,1,-1,1,-1,38.0,10,8,1.0,,1,3,3.3,3.8,14,Willian,14.0,0,0,11.5,5,3,True,38.6,19,7,74,,,81,0,0,,0,,47431.jpg,14.0,0,0,Borges Da Silva,14.9,False,,a,1,3,38.0,16,6,14,326839,326839,42277,42277,1.7,1.7,Willian,0,Arsenal,1.0,12.333730753077983,0.6,3.0,0.8187307530779818,0.2,0.6000000000000001,12.333730753077983,12.333730753077983,12.2713700400964,,,1.5226828090219733,4.333631247443359,0.6,0.0,0.2,1.0,0.2,3.0
494,0,3,37,,,1,226597,,,0,0,0,0,0.3,182,60,,,1,2,2.6,3.1,15,Gabriel,15.0,0,1,8.5,20,4,True,51.8,9,4,90,,,50,0,0,,0,,226597.jpg,15.0,0,0,Magalhães,8.8,False,,a,1,3,33.0,27,6,15,302303,302303,30133,30133,3.0,3.0,Gabriel,0,Arsenal,1.0,8.874923012311926,0.1,0.6000000000000001,3.274923012311928,0.0,0.0,8.874923012311926,8.874923012311926,9.011472405936432,,,1.7749846024623852,3.968986230121334,0.1,1.0,0.2,1.0,0.0,0.0
501,0,0,6,,,0,182539,,,0,0,0,0,1.3,141,87,,,0,3,1.9,2.4,1,Daniel,1.0,0,0,1.1,177,82,False,5.2,160,67,12,,,50,0,0,,0,,182539.jpg,1.0,0,0,Ceballos Fernández,1.8,False,,a,1,3,4.0,100,52,1,9212,9212,19562,19562,0.2,0.2,Ceballos,0,Arsenal,1.0,1.8187307530779817,0.0,0.0,0.8187307530779818,0.0,0.0,1.8187307530779817,1.0,1.8570636693705307,,,0.36374615061559634,0.8133611193303504,0.0,0.0,0.2,0.0,0.0,0.0
526,0,0,15,,,1,153256,,,0,0,0,0,3.8,102,63,,,0,3,1.5,2.0,3,Mohamed Naser,3.0,0,0,3.2,88,42,False,10.6,119,44,90,,,45,0,0,,0,,153256.jpg,3.0,0,0,El Sayed Elneny,1.3,False,,a,1,3,18.0,55,28,3,59915,59915,15273,15273,0.7,0.7,Elneny,0,Arsenal,1.0,3.8187307530779817,0.2,1.0,0.8187307530779818,0.0,0.0,3.8187307530779817,3.8187307530779817,3.829093216794384,,,0.8486068340173293,1.8001669406847016,,,0.2,1.0,,
